step,n_seeds,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std
0,3,0.4343586746189329,0.014158750895661097,123.17170168245822,2.490184860470053,327.5988367754306,0.7566030024448402,565.3333333333334,0.5773502691896257
500,3,1.4792167279455397,0.0173092044816232,59.02405379950132,0.9211993547088233,284.77541278911735,2.0116220955349093,559.3333333333334,0.5773502691896257
1000,3,1.5542304582066007,0.03106850642570169,46.50698962661945,0.35474838597313274,254.37278306952305,2.288851971274777,556.0,1.0
1500,3,1.5866132577260335,0.04400520566598329,39.810694890599265,0.5388925261297961,223.53984381656954,4.395916124633943,555.2777777777777,0.19245008972989713
2000,3,1.6092652016215854,0.040910997362028155,34.6422527224899,1.583578144363028,198.7303103411513,5.388873888458464,552.1111111111111,1.1706281947614352
2500,3,1.5975237554974027,0.02290961372737033,32.81760955877962,1.3992203237538952,177.48421071579568,9.295404303072297,549.2777777777778,1.2945755775256602
3000,3,1.6843988829188876,0.029770486755565796,29.52506494400323,2.700738766272853,152.49913497311044,9.113574849813617,545.9444444444445,2.657971936423465
3500,3,1.7547008328967624,0.07191105714867388,27.50481934525456,3.2252357950583685,134.9272570873575,6.360374506470752,544.1111111111111,2.562189457244534
4000,3,1.82077376710044,0.11908500697461726,25.6970427958325,3.90039046668083,122.23057981854429,7.006789294954462,542.2222222222223,3.43322545677341
4500,3,1.877775576379564,0.1207320549092244,24.490891451197168,3.4719137465623464,114.33756755257542,6.289320661470161,541.3888888888889,2.2381374531648404
5000,3,1.946317301856147,0.15057471746336393,23.04857174547748,3.8143649135233635,108.45179481095363,6.458205559833675,537.7777777777778,4.5896421227384305
5500,3,1.9386222561200461,0.17823793792857415,22.563474943451805,3.8975743744602074,104.64691583333703,7.056911882795567,537.4444444444445,3.097191081059195
6000,3,1.9408496022224426,0.21153811703775355,22.710159989969156,4.564436770527776,100.98608392676242,7.778100418235047,537.4444444444445,3.976784481816263
6500,3,2.005918714735243,0.22716624222252488,21.606058709607098,4.39035950092511,97.16116137390712,8.084048949778833,536.2777777777777,4.667658624732234
7000,3,2.0433975789282055,0.18050667938549594,20.778363646541468,3.698890018193746,93.66457957304567,7.2645960950954285,534.5555555555555,4.682512779045681
7500,3,2.058397776550717,0.18519544803995958,20.926015422140832,3.55816613961649,89.89253041828965,5.851292440056764,532.4444444444445,5.701689158421337
