step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,validate/sigreg_loss_step_mean,validate/sigreg_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/rand_diff_loss_mean,fit/rand_diff_loss_std,fit/sigreg_loss_mean,fit/sigreg_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std,validate/sigreg_loss_epoch_mean,validate/sigreg_loss_epoch_std
0,3,0.18605399628480276,0.0391935765933593,0.01841076835989952,0.0021880286311567435,1.8619791666666667,0.4443062461462627,,,,,,,,,,,,,,,,,,
1,3,0.18650545179843903,0.013377810418111886,0.02537264550725619,0.007494488965959488,1.7890625,0.20536624106398305,,,,,,,,,,,,,,,,,,
2,3,0.18314616878827414,0.01515189540109902,0.020060230046510696,0.0036272940314001764,1.8151041666666667,0.16468137243502476,,,,,,,,,,,,,,,,,,
3,3,0.17173014084498087,0.02444334278753865,0.026222326482335728,0.005956417110405878,1.6145833333333333,0.23363598768080088,,,,,,,,,,,,,,,,,,
4,3,0.18998728692531586,0.011069368813464936,0.020065408820907276,0.003569745709610372,1.8880208333333333,0.08353653610596583,,,,,,,,,,,,,,,,,,
5,3,0.17294010519981384,0.006281262864060588,0.021898442258437473,0.0045457501179654,1.6770833333333333,0.03157384284630766,,,,,,,,,,,,,,,,,,
6,3,0.1914108544588089,0.00843883239703201,0.021488981321454048,0.006959254051271834,1.8880208333333333,0.1289259770259017,,,,,,,,,,,,,,,,,,
7,3,0.1479517718156179,0.0128063417657082,0.019371042648951214,0.003784956612549137,1.4296875,0.10334966058846057,,,,,,,,,,,,,,,,,,
8,3,0.1734833618005117,0.022826018825935487,0.019186485558748245,0.000927964028565032,1.7135416666666667,0.2555933532773952,,,,,,,,,,,,,,,,,,
9,3,0.17584143579006195,0.020417482063622976,0.0244742501527071,0.007320832864413331,1.6796875,0.1769492445766582,,,,,,,,,,,,,,,,,,
10,3,0.2062316139539083,0.03382420413428806,0.023288901895284653,0.004508307958267578,2.0338541666666665,0.33460248297731343,,,,,,,,,,,,,,,,,,
11,3,0.1735119769970576,0.0349090758912998,0.017261977617939312,0.002365775736118652,1.7317708333333333,0.36862528787995996,,,,,,,,,,,,,,,,,,
12,3,0.17819905281066895,0.018449304783055495,0.018693840131163597,0.0002515440819857039,1.7708333333333333,0.20437316831493155,,,,,,,,,,,,,,,,,,
13,3,0.17998497188091278,0.025469667575330136,0.01982872560620308,0.006977230133552092,1.78125,0.203125,,,,,,,,,,,,,,,,,,
14,3,0.18340502679347992,0.02854875003805945,0.01836596615612507,0.0048490707922717235,1.8333333333333333,0.2633558097936769,,,,,,,,,,,,,,,,,,
15,3,0.17399012545744577,0.01770972700928378,0.016763561715682346,0.0020860827917249755,1.7447916666666667,0.22156852366047694,,,,,,,,,,,,,,,,,,
16,3,0.17321098844210306,0.003966350656779276,0.02054171512524287,0.0038480296835737286,1.6979166666666667,0.06644453553215142,,,,,,,,,,,,,,,,,,
17,3,0.17413989206155142,0.00468974251234504,0.017889889267583687,0.0029091373739863033,1.7395833333333333,0.03608439182435161,,,,,,,,,,,,,,,,,,
18,3,0.19787204265594482,0.02066033043684921,0.016556943766772747,0.0031206252536908675,2.0182291666666665,0.2584430420606895,,,,,,,,,,,,,,,,,,
19,3,0.16211596628030142,0.01983390443349442,0.019537839107215405,0.004450329361814615,1.5833333333333333,0.16979086784065664,,,,,,,,,,,,,,,,,,
49,3,,,,,,,0.0,0.0,2.375567356745402,0.5399836865952689,0.9604379932085673,0.015245622171537961,0.2552776088317235,0.0077378554553848315,1.245205561319987,0.01907115177132664,7.697916666666667,0.23454854685828547,,,,,,
