epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,2.6332859992980957,0.8407966494560242,0.24314041435718536,6.65625,49,,,,,,
0,2.6705830097198486,0.6671395301818848,0.25307703018188477,4.59375,99,,,,,,
0,1.2142239809036255,0.5608808994293213,0.2249433696269989,3.734375,149,,,,,,
0,1.5492023229599,0.45016318559646606,0.15133504569530487,3.3125,199,,,,,,
0,2.2190988063812256,0.3803423345088959,0.10885796695947647,3.015625,249,,,,,,
0,1.0895507335662842,0.38347676396369934,0.13347676396369934,2.78125,299,,,,,,
0,1.436900019645691,0.36889809370040894,0.12280433624982834,2.734375,349,,,,,,
0,1.3689113855361938,0.3580312728881836,0.11291410028934479,2.71875,399,,,,,,
0,1.0858601331710815,0.3570956587791443,0.12272066622972488,2.609375,449,,,,,,
0,1.5357462167739868,0.34084466099739075,0.11330559849739075,2.53125,499,,,,,,
0,2.1090588569641113,0.3457566499710083,0.0840378925204277,2.90625,549,,,,,,
0,1.8069525957107544,0.3124310374259949,0.07610291987657547,2.625,599,,,,,,
0,4.809659957885742,0.28145086765289307,0.06465398520231247,2.40625,649,,,,,,
0,1.687991976737976,0.264373779296875,0.052459701895713806,2.359375,699,,,,,,
0,2.071195602416992,0.3021405041217804,0.09120301157236099,2.34375,749,,,,,,
0,2.4266817569732666,0.28113067150115967,0.07019317150115967,2.34375,799,,,,,,
0,4.089121341705322,0.2518266439437866,0.049678198993206024,2.25,849,,,,,,
0,1.8088093996047974,0.26466184854507446,0.06348995864391327,2.234375,899,,,,,,
0,1.6416378021240234,0.2476866990327835,0.05237420275807381,2.171875,949,,,,,,
0,3.0478975772857666,0.2433297038078308,0.05192345753312111,2.125,999,,,,,,
0,1.4565409421920776,0.24410392343997955,0.05660392343997955,2.078125,1049,,,,,,
0,6.578064918518066,0.24464398622512817,0.05714397877454758,2.078125,1099,,,,,,
0,1.8582251071929932,0.24018323421478271,0.06049574166536331,2.0,1149,,,,,,
0,1.1319775581359863,0.21843786537647247,0.054375361651182175,1.8203125,1199,,,,,,
0,1.2966059446334839,0.21830496191978455,0.04350027069449425,1.9453125,1249,,,,,,
0,2.6737372875213623,0.24073803424835205,0.06300365924835205,1.9765625,1299,,,,,,
0,1.4979150295257568,0.2209184616804123,0.051973145455121994,1.875,1349,,,,,,
0,1.2246168851852417,0.23431755602359772,0.06732536852359772,1.8515625,1399,,,,,,
0,2.94317889213562,0.2369043081998825,0.06112305447459221,1.953125,1449,,,,,,
0,2.5500731468200684,0.23293732106685638,0.045437321066856384,2.078125,1499,,,,,,
0,1.4008523225784302,0.22320428490638733,0.06890740990638733,1.71875,1549,,,,,,
0,1.4128063917160034,0.22624532878398895,0.06413595378398895,1.8046875,1599,,,,,,
0,2.298593044281006,0.25023213028907776,0.07347432523965836,1.9609375,1649,,,,,,
0,1.596274733543396,0.2078845202922821,0.0604235865175724,1.640625,1699,,,,,,
0,1.8857672214508057,0.20019188523292542,0.05077781900763512,1.65625,1749,,,,,,
0,1.9699640274047852,0.21618321537971497,0.05309727415442467,1.8125,1799,,,,,,
0,1.57638680934906,0.20807978510856628,0.05768916383385658,1.671875,1849,,,,,,
0,2.103644609451294,0.23871544003486633,0.059027936309576035,2.0,1899,,,,,,
0,1.9258452653884888,0.20396645367145538,0.04771645739674568,1.734375,1949,,,,,,
0,1.6349173784255981,0.22661127150058746,0.05668939650058746,1.8828125,1999,,,,,,
0,2.1695234775543213,0.21179968118667603,0.05261998623609543,1.7734375,2049,,,,,,
0,2.4745395183563232,0.22038890421390533,0.06609202921390533,1.71875,2099,,,,,,
0,1.6746126413345337,0.18792955577373505,0.04339830204844475,1.6015625,2149,,,,,,
0,4.040052890777588,0.21378988027572632,0.04972737282514572,1.8203125,2199,,,,,,
0,2.6265196800231934,0.2090446799993515,0.0557243637740612,1.703125,2249,,,,,,
0,1.867339849472046,0.22564446926116943,0.06939446926116943,1.734375,2299,,,,,,
0,2.000741958618164,0.21010982990264893,0.050930146127939224,1.765625,2349,,,,,,
0,2.301919460296631,0.19816052913665771,0.03995739668607712,1.7578125,2399,,,,,,
0,3.0281310081481934,0.200090229511261,0.04384023696184158,1.734375,2449,,,,,,
0,3.3437306880950928,0.18649275600910187,0.03805525600910187,1.6484375,2499,,,,,,
0,3.552518844604492,0.22638070583343506,0.06915414333343506,1.75,2549,,,,,,
0,1.6558932065963745,0.21391841769218445,0.05180904641747475,1.796875,2599,,,,,,
0,1.3176047801971436,0.1980099380016327,0.05054899677634239,1.640625,2649,,,,,,
0,2.365482807159424,0.21046411991119385,0.047378186136484146,1.8125,2699,,,,,,
0,2.7466254234313965,0.22042357921600342,0.06124389171600342,1.7734375,2749,,,,,,
0,1.7447710037231445,0.21158000826835632,0.05240032449364662,1.765625,2799,,,,,,
0,2.5883657932281494,0.19482117891311646,0.046383678913116455,1.6484375,2849,,,,,,
0,1.3907783031463623,0.19614361226558685,0.03696392849087715,1.765625,2899,,,,,,
