step,n_seeds,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std
0,3,0.4389170987738503,0.01592558901793836,117.07722798757275,9.876974391058372,325.4651840785036,2.564074228310295,563.6666666666666,0.5773502691896257
500,3,1.672453675005171,0.028008051782864345,51.20870522800667,2.867643108072712,274.53306368398256,1.6922096084275318,558.2222222222223,1.4561491580090333
1000,3,1.7229738103018866,0.03629421968979032,47.23989952226322,0.9369220003000069,256.46702820148613,1.597464331475478,556.7777777777778,1.797632187484848
1500,3,1.7679373886850145,0.022848671047267285,44.50866865020516,1.7074375149980419,237.59380303303922,1.9163146569552583,554.8333333333333,1.0408329997330663
2000,3,1.7683969934781392,0.026467397254517428,42.43388453141896,2.1911809898131955,226.99879820679482,2.308929326354925,554.1666666666666,2.0207259421636903
2500,3,1.7689582308133442,0.028166739793967572,41.041807777615794,2.2026810881075525,220.25942174774028,2.732022416931454,553.3888888888889,1.2945755775256773
3000,3,1.7561494178242154,0.03816498069597588,40.44920018727251,2.6812875209052196,215.0765698819494,4.101428178757794,552.5555555555555,1.7105338131489822
3500,3,1.7658403780725267,0.027754808189918528,39.33461639109636,2.3691926986929834,211.58213696984606,4.017747270421515,551.7777777777777,1.512295287646266
4000,3,1.7538891964488559,0.03538374770976371,39.31921333387408,2.780859847646369,209.77683848352967,4.035152747560369,552.0,1.7559422921421233
4500,3,1.7559474839104547,0.033239013026449174,39.1410466567163,2.7450237133311015,209.19625960465032,3.720777441239585,551.7777777777777,1.1344765475923195
5000,3,1.7538092599974737,0.03408017897080745,39.216502641005285,2.834687816954308,209.14881411014218,3.546192063141327,551.7777777777777,1.4561491580090333
