epoch,fit/grad_norm,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,0.9999992251396179,0.6738623380661011,0.25394049286842346,4.65625,49,,,,,,
0,0.999999463558197,0.6050002574920654,0.23976591229438782,4.0625,99,,,,,,
0,0.9999996423721313,0.41529580950737,0.11256144195795059,3.359375,149,,,,,,
0,0.9999994039535522,0.3883896768093109,0.12276466935873032,2.953125,199,,,,,,
0,0.9999993443489075,0.39655736088752747,0.11726048588752747,3.09375,249,,,,,,
0,0.9999991655349731,0.3412478566169739,0.09124787151813507,2.78125,299,,,,,,
0,0.9999992251396179,0.3533557653427124,0.1033557802438736,2.78125,349,,,,,,
0,0.9999993443489075,0.3507384657859802,0.07534784823656082,3.0625,399,,,,,,
0,0.9999999403953552,0.3568164110183716,0.10095705091953278,2.84375,449,,,,,,
0,0.9999996423721313,0.2866276800632477,0.052252672612667084,2.609375,499,,,,,,
0,0.9999992251396179,0.28322336077690125,0.07326242327690125,2.328125,549,,,,,,
0,0.999999463558197,0.2677193880081177,0.04994594678282738,2.421875,599,,,,,,
0,0.9999997019767761,0.2569129168987274,0.04597542807459831,2.34375,649,,,,,,
0,0.9999997019767761,0.28500932455062866,0.060399942100048065,2.5,699,,,,,,
0,0.9999995231628418,0.25038081407546997,0.05311517417430878,2.1875,749,,,,,,
0,0.999999463558197,0.26991161704063416,0.06483349949121475,2.28125,799,,,,,,
0,0.9999995231628418,0.24118193984031677,0.04977569729089737,2.125,849,,,,,,
0,0.9999992847442627,0.2533721923828125,0.049270644783973694,2.265625,899,,,,,,
0,0.9999998211860657,0.24632273614406586,0.051010239869356155,2.171875,949,,,,,,
0,0.9999996423721313,0.24976933002471924,0.04859744757413864,2.234375,999,,,,,,
0,0.9999996423721313,0.22829876840114594,0.058376897126436234,1.890625,1049,,,,,,
0,0.9999997019767761,0.22919206321239471,0.05048112943768501,1.984375,1099,,,,,,
0,0.9999992251396179,0.2308744341135025,0.0599760003387928,1.8984375,1149,,,,,,
0,0.9999997019767761,0.2307109832763672,0.048093803226947784,2.03125,1199,,,,,,
0,0.9999996423721313,0.21507039666175842,0.05686727538704872,1.7578125,1249,,,,,,
0,1.0,0.2348061501979828,0.04730614647269249,2.078125,1299,,,,,,
0,0.9999997019767761,0.21680201590061188,0.041997332125902176,1.9375,1349,,,,,,
0,0.9999994039535522,0.23023518919944763,0.04761800542473793,2.03125,1399,,,,,,
0,0.9999996423721313,0.21524490416049957,0.05118240788578987,1.828125,1449,,,,,,
0,0.9999997019767761,0.2127305269241333,0.034996144473552704,1.9765625,1499,,,,,,
0,0.9999997615814209,0.2012503743171692,0.04207067936658859,1.765625,1549,,,,,,
0,0.999999463558197,0.2156505137681961,0.05158801004290581,1.8203125,1599,,,,,,
0,0.9999994039535522,0.19440120458602905,0.036198072135448456,1.7578125,1649,,,,,,
0,0.9999993443489075,0.20953768491744995,0.036686114966869354,1.921875,1699,,,,,,
0,0.9999996423721313,0.21259543299674988,0.060251686722040176,1.6953125,1749,,,,,,
0,0.9999997019767761,0.2618221640586853,0.06748621165752411,2.15625,1799,,,,,,
0,0.999999463558197,0.2439519315958023,0.061334747821092606,2.03125,1849,,,,,,
0,0.9999994039535522,0.20453734695911407,0.043404534459114075,1.7890625,1899,,,,,,
0,0.9999997615814209,0.2485092282295227,0.07956390827894211,1.875,1949,,,,,,
0,0.9999996423721313,0.2281428873538971,0.06115070357918739,1.859375,1999,,,,,,
0,0.9235466718673706,0.20077867805957794,0.04355211183428764,1.7421875,2049,,,,,,
0,0.9999995827674866,0.2081633061170578,0.0480070561170578,1.78125,2099,,,,,,
0,0.9999994039535522,0.20807784795761108,0.048898160457611084,1.7734375,2149,,,,,,
0,0.9999991059303284,0.19876208901405334,0.04446522146463394,1.71875,2199,,,,,,
0,0.9999995231628418,0.1987440288066864,0.0366346575319767,1.796875,2249,,,,,,
0,0.9999992847442627,0.21844598650932312,0.04266474395990372,1.953125,2299,,,,,,
0,0.9999994039535522,0.21352718770503998,0.050441253930330276,1.8125,2349,,,,,,
0,0.9999994039535522,0.20793871581554413,0.04875903204083443,1.765625,2399,,,,,,
0,0.9999993443489075,0.2000620812177658,0.03990583494305611,1.78125,2449,,,,,,
0,0.9999997019767761,0.23060499131679535,0.05384717509150505,1.96875,2499,,,,,,
0,0.9999995231628418,0.19252818822860718,0.039207883179187775,1.703125,2549,,,,,,
0,0.999999463558197,0.22987550497055054,0.055070821195840836,1.9453125,2599,,,,,,
0,0.999999463558197,0.2183908224105835,0.039679884910583496,1.984375,2649,,,,,,
0,0.9999992847442627,0.18676511943340302,0.031491681933403015,1.7265625,2699,,,,,,
0,0.9999995231628418,0.20200571417808533,0.04966196045279503,1.6953125,2749,,,,,,
0,0.9999992251396179,0.2002396434545517,0.039106834679841995,1.7890625,2799,,,,,,
0,0.9999999403953552,0.20323555171489716,0.036243364214897156,1.859375,2849,,,,,,
0,0.9999993443489075,0.20241105556488037,0.03346574306488037,1.875,2899,,,,,,
0,0.9999995231628418,0.21253053843975067,0.04846803471446037,1.8203125,2949,,,,,,
0,0.9999995231628418,0.1954275220632553,0.03917752578854561,1.734375,2999,,,,,,
0,0.9999992847442627,0.23823559284210205,0.059524647891521454,1.984375,3049,,,,,,
0,0.9999995827674866,0.1981084793806076,0.039905354380607605,1.7578125,3099,,,,,,
