epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,fit/rand_diff_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,2.202181339263916,0.9501289129257202,0.25803911685943604,1.2402291297912598,7.5625,49,,,,,,
0,2.873889207839966,0.7584232687950134,0.25454893708229065,1.1686880588531494,5.46875,99,,,,,,
0,4.031979560852051,0.6587921380996704,0.22294875979423523,1.2015241384506226,4.71875,149,,,,,,
0,2.4797863960266113,0.5432787537574768,0.1617833822965622,1.2354716062545776,4.09375,199,,,,,,
0,1.8629844188690186,0.5602596998214722,0.17071814835071564,1.2588448524475098,4.1875,249,,,,,,
0,1.8117294311523438,0.45654797554016113,0.16461940109729767,1.2631714344024658,3.09375,299,,,,,,
0,2.2573392391204834,0.41996845602989197,0.1371532529592514,1.3283944129943848,2.984375,349,,,,,,
0,1.1344707012176514,0.40135639905929565,0.11831090599298477,1.3514254093170166,2.984375,399,,,,,,
0,1.6582934856414795,0.41126370429992676,0.12805138528347015,1.3681042194366455,2.984375,449,,,,,,
0,1.7604681253433228,0.34518325328826904,0.09504207968711853,1.3813037872314453,2.625,499,,,,,,
0,4.170526027679443,0.33799174427986145,0.09945115447044373,1.393120288848877,2.5,549,,,,,,
0,2.5476677417755127,0.34442007541656494,0.0750211849808693,1.5492662191390991,2.8125,599,,,,,,
0,1.8872520923614502,0.3004438877105713,0.060099437832832336,1.5735089778900146,2.5,649,,,,,,
0,2.15917706489563,0.30013078451156616,0.07226989418268204,1.5946831703186035,2.359375,699,,,,,,
0,3.268400192260742,0.28908994793891907,0.07125617563724518,1.6661913394927979,2.234375,749,,,,,,
0,2.084376335144043,0.3148348331451416,0.08073166757822037,1.6329725980758667,2.421875,799,,,,,,
0,1.8116241693496704,0.30445680022239685,0.09372661262750626,1.6394245624542236,2.15625,849,,,,,,
0,1.8468022346496582,0.26067307591438293,0.06490132212638855,1.608424186706543,2.0,899,,,,,,
0,1.6175920963287354,0.2997932434082031,0.0809468999505043,1.7674486637115479,2.234375,949,,,,,,
0,1.9132664203643799,0.27508196234703064,0.07405156642198563,1.841320276260376,2.03125,999,,,,,,
0,2.4089250564575195,0.2588428854942322,0.048981230705976486,1.7478851079940796,2.140625,1049,,,,,,
0,1.8463737964630127,0.3157723844051361,0.08336110413074493,1.8544102907180786,2.375,1099,,,,,,
0,1.9215675592422485,0.26365208625793457,0.06701663136482239,1.8901073932647705,1.9765625,1149,,,,,,
0,3.138310670852661,0.30677440762519836,0.09885288774967194,1.8468399047851562,2.109375,1199,,,,,,
0,1.0958094596862793,0.24654629826545715,0.06236131861805916,1.914591908454895,1.8359375,1249,,,,,,
0,1.5751850605010986,0.23597295582294464,0.053702954202890396,1.8207507133483887,1.828125,1299,,,,,,
0,2.3276286125183105,0.2637980580329895,0.0736122727394104,1.8310798406600952,1.90625,1349,,,,,,
0,2.4751980304718018,0.2628779411315918,0.06170341745018959,1.953389048576355,2.015625,1399,,,,,,
0,3.3495380878448486,0.23481595516204834,0.05314285308122635,1.858717679977417,1.8125,1449,,,,,,
0,2.6383354663848877,0.2738811671733856,0.08423817157745361,1.9721133708953857,1.8828125,1499,,,,,,
0,2.0478875637054443,0.265914648771286,0.07167375087738037,1.8459655046463013,1.953125,1549,,,,,,
0,3.867461919784546,0.25136640667915344,0.06012104079127312,1.9370367527008057,1.9140625,1599,,,,,,
0,2.3001177310943604,0.2485676109790802,0.06724889576435089,1.9209346771240234,1.8046875,1649,,,,,,
0,2.0644285678863525,0.24134951829910278,0.06778428703546524,1.9268367290496826,1.71875,1699,,,,,,
0,2.043825387954712,0.2487565129995346,0.06117992848157883,1.960782766342163,1.8671875,1749,,,,,,
0,1.9041733741760254,0.23458823561668396,0.06613073498010635,2.002000331878662,1.6484375,1799,,,,,,
0,2.3579165935516357,0.2301449477672577,0.054867759346961975,1.9027190208435059,1.734375,1849,,,,,,
0,2.4804253578186035,0.2689940631389618,0.07927923649549484,1.9792932271957397,1.890625,1899,,,,,,
0,3.9440205097198486,0.23569133877754211,0.049076128751039505,1.9623029232025146,1.859375,1949,,,,,,
0,3.0869035720825195,0.25410133600234985,0.05281927064061165,1.86648690700531,2.03125,1999,,,,,,
0,3.2384567260742188,0.26100367307662964,0.06860536336898804,1.9546740055084229,1.921875,2049,,,,,,
0,1.4386168718338013,0.24681225419044495,0.06085125729441643,1.8968809843063354,1.859375,2099,,,,,,
0,3.1096932888031006,0.2508142590522766,0.07336509227752686,1.9246039390563965,1.7578125,2149,,,,,,
0,2.9306273460388184,0.24670957028865814,0.05921623483300209,1.8548026084899902,1.875,2199,,,,,,
0,4.021895885467529,0.24486105144023895,0.05927479267120361,1.859406590461731,1.859375,2249,,,,,,
0,3.7427313327789307,0.2452164888381958,0.06500661373138428,1.9077062606811523,1.7890625,2299,,,,,,
0,3.7238895893096924,0.238085076212883,0.059495262801647186,1.941011905670166,1.7734375,2349,,,,,,
0,2.6306467056274414,0.24870307743549347,0.05890398472547531,1.987721562385559,1.890625,2399,,,,,,
0,2.212409019470215,0.27131614089012146,0.09043090790510178,1.8775838613510132,1.8046875,2449,,,,,,
0,1.8007221221923828,0.22472111880779266,0.056563325226306915,1.8743739128112793,1.65625,2499,,,,,,
0,2.257779836654663,0.22582173347473145,0.058113377541303635,1.8294296264648438,1.6640625,2549,,,,,,
0,1.410192608833313,0.25141799449920654,0.06326695531606674,1.920572280883789,1.875,2599,,,,,,
0,0.8871122002601624,0.21765217185020447,0.04995763301849365,1.8280483484268188,1.65625,2649,,,,,,
0,1.6404995918273926,0.2390425056219101,0.05811292678117752,1.9796780347824097,1.7890625,2699,,,,,,
0,1.0724496841430664,0.23172347247600555,0.05461474880576134,1.890559196472168,1.7578125,2749,,,,,,
0,0.7680994272232056,0.21286258101463318,0.043699223548173904,1.9749295711517334,1.65625,2799,,,,,,
0,1.4279917478561401,0.23487907648086548,0.05462135374546051,2.0101473331451416,1.78125,2849,,,,,,
0,1.6000310182571411,0.2283393293619156,0.0464920811355114,1.9737871885299683,1.8046875,2899,,,,,,
0,2.2771615982055664,0.28563448786735535,0.10413725674152374,1.8411312103271484,1.8125,2949,,,,,,
0,2.5236573219299316,0.22087199985980988,0.04274890944361687,1.8943393230438232,1.7734375,2999,,,,,,
0,0.8686400055885315,0.23820815980434418,0.05257555469870567,1.8640408515930176,1.8515625,3049,,,,,,
0,1.7169334888458252,0.230678528547287,0.05168711021542549,1.8835179805755615,1.78125,3099,,,,,,
0,1.0928174257278442,0.24166740477085114,0.05905754119157791,1.8547375202178955,1.828125,3149,,,,,,
0,1.653050184249878,0.24105556309223175,0.05689557269215584,2.009749412536621,1.828125,3199,,,,,,
0,1.8772478103637695,0.23263074457645416,0.052439697086811066,1.905824899673462,1.7890625,3249,,,,,,
0,1.276771903038025,0.23636962473392487,0.06350653618574142,1.8566209077835083,1.71875,3299,,,,,,
0,1.575303077697754,0.2629808187484741,0.08010353147983551,1.9791338443756104,1.8125,3349,,,,,,
0,1.309266209602356,0.25357791781425476,0.05110765993595123,1.7899949550628662,2.046875,3399,,,,,,
0,1.0718191862106323,0.21626104414463043,0.044275954365730286,1.7688217163085938,1.7109375,3449,,,,,,
