step,n_seeds,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std
0,2,113.70859616342301,0.46645470068377726,537.75,0.589255650988736,1.8669376174608865,0.019787804886369765,23.59327520036305,0.8804738546046249
500,2,112.35767560558031,0.5515738429974009,536.8333333333333,0.47140452079100487,1.9691936572392783,0.020120961674898772,22.366062890867074,0.8923606336975269
1000,2,111.20240999853291,0.26137757809761647,536.8333333333334,0.7071067811865476,2.028110146522522,0.03215023419788834,21.910053974318327,0.6295940476313097
1500,2,110.47835208311622,0.1429118383932918,536.6666666666666,0.7071067811865476,2.0497442980607348,0.035511852786167634,21.632633101900574,0.5550601944116701
2000,2,109.8031167958826,0.13840843204593373,536.3333333333334,0.7071067811865476,2.063349684079488,0.032510196382070276,21.392080771751825,0.5864344350223429
2500,2,109.30230343007852,0.05897189768936925,535.9166666666666,0.3535533905932738,2.0703079899152117,0.03272514530947583,21.245798639598227,0.6311895673884873
3000,2,108.87669323864344,0.002283510204937052,535.75,0.11785113019781152,2.0730633338292437,0.035849378797992174,21.136951434850474,0.5907921754673837
3500,2,108.55993819370232,0.055716768434980544,535.4166666666667,0.11785113019773112,2.074951618909836,0.03622705670749861,21.04441973940805,0.5865334170090094
4000,2,108.31350629677544,0.09778009063351652,535.25,0.3535533905932738,2.0771128237247467,0.03681820840471241,20.961465401660902,0.6107157492792994
4500,2,108.10440865966689,0.12068265969787352,535.3333333333334,0.0,2.0779796044031777,0.03841078327149434,20.90316054302766,0.570160667249347
5000,2,107.94611058754825,0.11400349510445801,535.0833333333333,0.11785113019773112,2.077802350123723,0.038906416161032846,20.876733944456515,0.5744486320901714
5500,2,107.83087210417258,0.08869040732657586,535.0,0.0,2.0777793029944105,0.03738626362894192,20.847357677979794,0.5950074317019184
6000,2,107.77858595400279,0.09130125277952059,534.9166666666667,0.11785113019773112,2.077533930540085,0.03747176553562092,20.830523544301705,0.5820778815588129
6500,2,107.7414594138433,0.09516709674946468,534.9166666666667,0.11785113019773112,2.077621638774872,0.03742682294615901,20.830811156549778,0.5891256613113184
7000,2,107.70659106824723,0.08723788768860921,534.9166666666667,0.11785113019773112,2.078140467405319,0.03721495073869475,20.81599554306745,0.5907020849007703
7500,2,107.69240884522836,0.0996177280337982,534.9166666666667,0.11785113019773112,2.078267127275467,0.03753327183654823,20.812092628977034,0.5865986759336661
8000,2,107.69410389151085,0.09594603886170296,534.9166666666667,0.11785113019773112,2.078173329432805,0.037443414755522694,20.813370095900346,0.5882169207561102
