horizon,mse_mean,mse_std,n_seeds
1,0.008252547369920649,0.0014761143231735896,2
3,0.03997115418314934,0.000845819090257067,2
5,0.10082395048812032,0.036453457943412614,2
10,0.203550033736974,0.1612255322328269,2
15,1.2232320625334978,0.5941229420325184,2
20,1.9927293471992016,0.3098790823404282,2
