step,n_seeds,effective_rank_mean,effective_rank_std,n_eigvals_above_1pct_mean,n_eigvals_above_1pct_std,spectral_eigval_mean,spectral_eigval_std,stable_rank_mean,stable_rank_std,trace_mean,trace_std
0,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
1000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
1500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
2000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
2500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
3000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
3500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
4000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
4500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
5000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
5500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
6000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
6500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
7000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
7500,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
8000,2,11.62096507353568,0.13506651453453394,40.5,0.7071067811865476,23.54586696624756,0.1345448787391449,7.945775326388369,0.25470489027829685,187.06610107421875,4.927823014885254
