epoch,fit/grad_norm,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,0.999999463558197,0.6458777189254761,0.21033087372779846,4.84375,49,,,,,,
0,0.9999992251396179,0.5616509914398193,0.23938533663749695,3.578125,99,,,,,,
0,0.9999995231628418,0.4271366000175476,0.1478397101163864,3.109375,149,,,,,,
0,0.9999995231628418,0.4025677442550659,0.11936463415622711,3.140625,199,,,,,,
0,0.9999994039535522,0.36193206906318665,0.09826019406318665,2.9375,249,,,,,,
0,0.9999995231628418,0.38084104657173157,0.12498167157173157,2.84375,299,,,,,,
0,0.9999997019767761,0.3477260172367096,0.10260883718729019,2.71875,349,,,,,,
0,0.9999995827674866,0.3190358281135559,0.07391863316297531,2.71875,399,,,,,,
0,0.9999995231628418,0.30132049322128296,0.06792205572128296,2.59375,449,,,,,,
0,0.999999463558197,0.2938292920589447,0.0672667846083641,2.515625,499,,,,,,
0,0.9999997615814209,0.2904953062534332,0.05416718125343323,2.625,549,,,,,,
0,0.9999998211860657,0.28091493248939514,0.053375858813524246,2.53125,599,,,,,,
0,0.9999995231628418,0.2631540596485138,0.05221657082438469,2.34375,649,,,,,,
0,0.9999996423721313,0.2566832900047302,0.04672234132885933,2.328125,699,,,,,,
0,0.9999995231628418,0.3053281307220459,0.0826718658208847,2.46875,749,,,,,,
0,0.9999997019767761,0.2608039379119873,0.0586555153131485,2.25,799,,,,,,
0,0.9999995231628418,0.24329574406147003,0.04603011906147003,2.1875,849,,,,,,
0,0.9999998211860657,0.26233601570129395,0.05432819575071335,2.3125,899,,,,,,
0,0.9999995827674866,0.24579331278800964,0.04852769151329994,2.1875,949,,,,,,
0,0.9999995231628418,0.2226705253124237,0.043959587812423706,1.984375,999,,,,,,
0,0.9999992251396179,0.21846042573451996,0.05732761695981026,1.7890625,1049,,,,,,
0,0.9999996423721313,0.2348526418209076,0.05711827054619789,1.9765625,1099,,,,,,
0,0.999999463558197,0.226353719830513,0.051549032330513,1.9375,1149,,,,,,
0,0.999999463558197,0.21173030138015747,0.053527168929576874,1.7578125,1199,,,,,,
0,0.9999992251396179,0.21038779616355896,0.03948935121297836,1.8984375,1249,,,,,,
0,0.9999995827674866,0.2370569109916687,0.062252216041088104,1.9375,1299,,,,,,
0,0.999999463558197,0.20175227522850037,0.04745539650321007,1.7109375,1349,,,,,,
0,0.9999998807907104,0.2340453863143921,0.06119382381439209,1.921875,1399,,,,,,
0,0.9999991059303284,0.2363138347864151,0.0546732135117054,2.015625,1449,,,,,,
0,0.9999991059303284,0.21149718761444092,0.04548155516386032,1.84375,1499,,,,,,
0,0.9999996423721313,0.21364213526248932,0.06129838898777962,1.6875,1549,,,,,,
0,0.9999997019767761,0.23224379122257233,0.06232191622257233,1.890625,1599,,,,,,
0,0.9999994039535522,0.2451939880847931,0.07136587053537369,1.9296875,1649,,,,,,
