step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,validate/sigreg_loss_step_mean,validate/sigreg_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_mean,fit/grad_norm_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/sigreg_loss_mean,fit/sigreg_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std,validate/sigreg_loss_epoch_mean,validate/sigreg_loss_epoch_std
0,3,0.22720037400722504,0.02607721355254608,0.03677069147427877,0.008723888556221158,2.1119791666666665,0.19205618820304474,,,,,,,,,,,,,,,,
1,3,0.22613336145877838,0.02715797841559317,0.04188856730858485,0.006809783891543091,2.0494791666666665,0.3418210556922779,,,,,,,,,,,,,,,,
2,3,0.24510952333609262,0.018890916142043454,0.03840379665295283,0.00750374307094874,2.296875,0.13887803777055607,,,,,,,,,,,,,,,,
3,3,0.2285110503435135,0.011567436888137831,0.03873240575194359,0.003663732838704024,2.1067708333333335,0.14199276958557902,,,,,,,,,,,,,,,,
4,3,0.24695479373137155,0.0019729682107037863,0.033087607473134995,0.003632431158362293,2.375,0.046875,,,,,,,,,,,,,,,,
5,3,0.2383822500705719,0.002886904406691362,0.03851245964566866,0.0030192341197457498,2.2239583333333335,0.023867581744561668,,,,,,,,,,,,,,,,
6,3,0.23702949285507202,0.013846699347221375,0.03553209329644839,0.004233635979222666,2.2395833333333335,0.19784812409606853,,,,,,,,,,,,,,,,
7,3,0.19672594964504242,0.021227457472104753,0.03298897109925747,0.005528346390964519,1.8177083333333333,0.2233518921082455,,,,,,,,,,,,,,,,
8,3,0.2289275825023651,0.013453418756389163,0.03589372771481673,0.008300184489181092,2.1458333333333335,0.11303403340734743,,,,,,,,,,,,,,,,
9,3,0.2321954369544983,0.024865552952513536,0.04274230698744456,0.01005115098987294,2.1067708333333335,0.1805910254956855,,,,,,,,,,,,,,,,
10,3,0.2307166506846746,0.023277215817434298,0.03605519483486811,0.007262215833358361,2.1614583333333335,0.28909768929953994,,,,,,,,,,,,,,,,
11,3,0.21298345923423767,0.006777047167942452,0.032970438400904335,0.004247079982053341,2.0026041666666665,0.07825510000685791,,,,,,,,,,,,,,,,
12,3,0.23351597785949707,0.009575858231301287,0.03299514949321747,0.005688250649119749,2.2291666666666665,0.10635717633678196,,,,,,,,,,,,,,,,
13,3,0.22832924127578735,0.011525546410649977,0.039201634004712105,0.011040494040719155,2.1041666666666665,0.16707307221193166,,,,,,,,,,,,,,,,
14,3,0.23145892719427744,0.017851858258949634,0.03256570113201936,0.005036841288593246,2.2083333333333335,0.1517583571284736,,,,,,,,,,,,,,,,
15,3,0.22088818748792013,0.0074880476611582135,0.03306266665458679,0.0019350798302033372,2.0885416666666665,0.06505206248331664,,,,,,,,,,,,,,,,
16,3,0.22375874718030295,0.011129428121722438,0.03365457927187284,0.0024155934302443165,2.1145833333333335,0.1016626109163705,,,,,,,,,,,,,,,,
17,3,0.21392378707726797,0.009520725124126,0.03391076810657978,0.003045082754376149,2.0,0.078125,,,,,,,,,,,,,,,,
18,3,0.22809157272179922,0.00954917943558876,0.029523862525820732,0.0033149527941400917,2.2083333333333335,0.13651398356334538,,,,,,,,,,,,,,,,
19,3,0.23124201595783234,0.007794896586229828,0.040812328457832336,0.01202583572839126,2.1145833333333335,0.1151736686848749,,,,,,,,,,,,,,,,
49,3,,,,,,,0.0,0.0,0.9999992648760477,6.882551541204759e-08,0.6551070610682169,0.016745790197983598,0.2325810194015503,0.025402266626186755,4.6875,0.23593232610221093,,,,,,
99,3,,,,,,,0.0,0.0,0.9999992847442627,1.7881393432617188e-07,0.5656588077545166,0.03752580291764587,0.23427862425645193,0.029781582538336154,3.6875,0.3603925810834624,,,,,,
149,3,,,,,,,0.0,0.0,0.9999996821085612,3.4412757706023796e-08,0.4411146442095439,0.028366217961377328,0.13577610005935034,0.020211392313750732,3.390625,0.22041774968227945,,,,,,
199,3,,,,,,,0.0,0.0,0.9999994039535522,1.1920928955078125e-07,0.38440778851509094,0.003700623771094555,0.12008486936489741,0.007566845628263172,2.9375,0.071602745233685,,,,,,
249,3,,,,,,,0.0,0.0,0.9999993443489075,1.1920928955078125e-07,0.3746765156586965,0.024448507057998295,0.11393432567516963,0.012714300032105722,2.890625,0.3518228202874282,,,,,,
299,3,,,,,,,0.0,0.0,0.9999992648760477,9.104759881806056e-08,0.36146771907806396,0.019202180761660807,0.11407189567883809,0.0198559395337262,2.75,0.11267347735824966,,,,,,
349,3,,,,,,,0.0,0.0,0.9484004775683085,0.0893718072578835,0.3473200003306071,0.017994575048770552,0.10350489368041356,0.004037117789439868,2.7135416666666665,0.1595995150629642,,,,,,
399,3,,,,,,,0.0,0.0,0.9999992847442627,2.1490760299348766e-07,0.34160051743189496,0.007967541166792675,0.0932281290491422,0.015868768342745178,2.7604166666666665,0.2657781421286057,,,,,,
449,3,,,,,,,0.0,0.0,0.9999997218449911,2.408893039421666e-07,0.3493816355864207,0.0075502404973889345,0.10621757556994756,0.007783262827750443,2.703125,0.1690102160373745,,,,,,
499,3,,,,,,,0.0,0.0,0.9999995827674866,1.5769906706002895e-07,0.2936250865459442,0.007142530031284061,0.06869019319613774,0.01423992877434863,2.5,0.10245997694221876,,,,,,
549,3,,,,,,,0.0,0.0,0.9999995430310568,2.816805616767769e-07,0.27910785873730976,0.006534849701442043,0.06328754251201947,0.010783158424720026,2.3958333333333335,0.05915529526875285,,,,,,
599,3,,,,,,,0.0,0.0,0.9999996026357015,1.2407696243918733e-07,0.2833325266838074,0.01574175462008942,0.06262940789262454,0.014539227714032082,2.453125,0.03125,,,,,,
649,3,,,,,,,0.0,0.0,0.9999996622403463,1.2407696243918733e-07,0.26182934641838074,0.006399243532086481,0.05317050218582153,0.006425968700873468,2.3177083333333335,0.073840869160197,,,,,,
699,3,,,,,,,0.0,0.0,0.9999997218449911,2.093246331384329e-07,0.2680219809214274,0.015475600338044532,0.05740999182065328,0.006929636653769362,2.34375,0.18421603316486868,,,,,,
749,3,,,,,,,0.0,0.0,0.9999995628992716,1.8209519763612112e-07,0.27176888783772785,0.03210768732036406,0.0686438816289107,0.01978189728316088,2.2552083333333335,0.1451808319246495,,,,,,
799,3,,,,,,,0.0,0.0,0.9999995430310568,9.104759881806056e-08,0.26975319782892865,0.01950292861672945,0.06434954702854156,0.00149595404731173,2.28125,0.203125,,,,,,
849,3,,,,,,,0.0,0.0,0.9999994436899821,1.3765103082409519e-07,0.24497261146704355,0.021467518524239476,0.058123654375473656,0.019662649929662712,2.0729166666666665,0.05487319662944135,,,,,,
899,3,,,,,,,0.0,0.0,0.9999995827674866,2.5981062314156735e-07,0.24599275986353555,0.01064966077033992,0.05360995729764303,0.003823789174202348,2.1354166666666665,0.1417776832168354,,,,,,
949,3,,,,,,,0.0,0.0,0.9999997218449911,1.2407696243918733e-07,0.24936516086260477,0.005682146565453257,0.05633130421241125,0.013189727588351081,2.1458333333333335,0.08884751098558323,,,,,,
999,3,,,,,,,0.0,0.0,0.9999996026357015,6.882551541204759e-08,0.23903552691141763,0.013604248583607714,0.05316312983632088,0.009345795559487006,2.0677083333333335,0.1451808319246495,,,,,,
1049,3,,,,,,,0.0,0.0,0.9999994039535522,2.384185791015625e-07,0.2304401397705078,0.0034385600905376184,0.05270576849579811,0.010900660914991443,1.9739583333333333,0.10635717633678196,,,,,,
1099,3,,,,,,,0.0,0.0,0.9999996622403463,6.882551541204759e-08,0.2490171194076538,0.025224207391022296,0.05956399937470754,0.012105810997487077,2.1041666666666665,0.1451808319246495,,,,,,
1149,3,,,,,,,0.0,0.0,0.9999995231628418,2.5981062314156735e-07,0.23378315071264902,0.003052678888364103,0.057676381121079125,0.0029541274167326813,1.9583333333333333,0.06735686018946647,,,,,,
1199,3,,,,,,,0.0,0.0,0.9999995430310568,1.8209519763612112e-07,0.23045008381207785,0.011185410046760673,0.05792404587070147,0.01030800516678681,1.9166666666666667,0.11727427342914273,,,,,,
1249,3,,,,,,,0.0,0.0,0.9999992450078329,3.6419039527224225e-07,0.2128719687461853,0.0019272193523344418,0.048809473713239036,0.007093871145255311,1.8229166666666667,0.05758683434243745,,,,,,
1299,3,,,,,,,0.0,0.0,0.9999995231628418,4.5000519962732493e-07,0.22865805526574454,0.012640030575866995,0.051900241523981094,0.009860767091678406,1.9609375,0.10510643786776336,,,,,,
1349,3,,,,,,,0.0,0.0,0.9999997019767761,1.7881393432617188e-07,0.224730983376503,0.012665772199667368,0.049275257935126625,0.006569832930667564,1.9453125,0.09789034442298178,,,,,,
1399,3,,,,,,,0.0,0.0,0.999999463558197,3.3186461703956255e-07,0.2253694385290146,0.006127427224785445,0.05512204269568125,0.007317770770149726,1.890625,0.14905300022139775,,,,,,
1449,3,,,,,,,0.0,0.0,0.9999996622403463,1.500017332091083e-07,0.21875772873560587,0.011486624379215557,0.05144002288579941,0.006197649125906603,1.8619791666666667,0.05863713671457137,,,,,,
1499,3,,,,,,,0.0,0.0,0.9999995231628418,1.5769906706002895e-07,0.22051139175891876,0.008319433619919011,0.05091503635048866,0.01717925497715107,1.8854166666666667,0.09830513587592123,,,,,,
1549,3,,,,,,,0.0,0.0,0.999999463558197,2.5981062314156735e-07,0.2135437528292338,0.01065083517043671,0.05534062534570694,0.012557970267431245,1.7578125,0.05898308152555273,,,,,,
1599,3,,,,,,,0.0,0.0,0.9999996622403463,1.8209519763612112e-07,0.21659167110919952,0.01249970862575979,0.05448229362567266,0.011766614729997195,1.7994791666666667,0.019661027175184243,,,,,,
1649,3,,,,,,,0.0,0.0,0.9999994238217672,1.500017332091083e-07,0.21936512986818948,0.027570585561916282,0.05334950486818949,0.018060379640097355,1.84375,0.10510643786776336,,,,,,
1699,3,,,,,,,0.0,0.0,0.9999995032946268,2.25659543108951e-07,0.20717609425385794,0.003449919510645021,0.05320474008719126,0.015067692364033693,1.7135416666666667,0.18193790077821426,,,,,,
1749,3,,,,,,,0.0,0.0,0.9999996225039164,3.4412757706023796e-08,0.2133253961801529,0.0006635490899443089,0.05284362658858299,0.006938680137288858,1.7838541666666667,0.08018127249135756,,,,,,
1799,3,,,,,,,0.0,0.0,0.9999995827674866,2.0647654623614278e-07,0.23257791996002197,0.025783701655098502,0.06167947749296824,0.006976283581237274,1.8984375,0.22330634262431956,,,,,,
1849,3,,,,,,,0.0,0.0,0.9999994238217672,3.4412757706023796e-08,0.22362489501635233,0.017606740098897705,0.05337750042478243,0.007258149250524826,1.890625,0.12401959270615269,,,,,,
1899,3,,,,,,,0.0,0.0,0.9999995430310568,1.9160212598230353e-07,0.2170181224743525,0.011918288458895362,0.05165353914101919,0.007171331530300686,1.8359375,0.062009796353076345,,,,,,
1949,3,,,,,,,0.0,0.0,0.999999483426412,2.408893039421666e-07,0.22277308503786722,0.022670456321627657,0.0580595408876737,0.018753038775066903,1.828125,0.08118988160479113,,,,,,
1999,3,,,,,,,0.0,0.0,0.9999996622403463,3.4412757706023796e-08,0.2231330176194509,0.01402306812787503,0.05288562551140785,0.009040558167938815,1.8932291666666667,0.08711317022748818,,,,,,
2049,3,,,,,,,0.0,0.0,0.9745152592658997,0.04414009148222412,0.2063495417435964,0.0049041703759810954,0.04814641550183296,0.004618504172331853,1.7552083333333333,0.02255274489021976,,,,,,
2099,3,,,,,,,0.0,0.0,0.9999995628992716,2.093246331384329e-07,0.21160651246706644,0.0029941394017937452,0.050148176650206246,0.0028952337933770673,1.796875,0.027063293868263706,,,,,,
2149,3,,,,,,,0.0,0.0,0.9999994436899821,6.882551541204759e-08,0.20334863166014353,0.010272227460039265,0.045145505418380104,0.008593783379164652,1.7578125,0.020669932117692115,,,,,,
2199,3,,,,,,,0.0,0.0,0.9999994238217672,3.6419039527224225e-07,0.20274985829989114,0.013838612076837706,0.04747642328341802,0.007519765523346313,1.7265625,0.0667500292602932,,,,,,
2249,3,,,,,,,0.0,0.0,0.9999995032946268,9.104759881806056e-08,0.2023724913597107,0.0037245530310573835,0.042867286751667656,0.005724504840439721,1.7708333333333333,0.05201818842562026,,,,,,
2299,3,,,,,,,0.0,0.0,0.9999993443489075,1.0323827311807139e-07,0.2124584118525187,0.010779120826312641,0.05100008100271225,0.008542066600080545,1.7916666666666667,0.1501409927645789,,,,,,
2349,3,,,,,,,0.0,0.0,0.9999995430310568,1.2407696243918733e-07,0.2074393630027771,0.005426297022488605,0.048910717169443764,0.004417187734948945,1.7630208333333333,0.05542655378591865,,,,,,
2399,3,,,,,,,0.0,0.0,0.999999483426412,1.3765103082409519e-07,0.20308143893877664,0.012306268611323846,0.041623104363679886,0.007495024024398546,1.7916666666666667,0.0813150781041458,,,,,,
2449,3,,,,,,,0.0,0.0,0.999999463558197,1.1920928955078125e-07,0.20221288998921713,0.017213293795872657,0.04889258245627085,0.016607347488857713,1.703125,0.071602745233685,,,,,,
2499,3,,,,,,,0.0,0.0,0.9999995430310568,2.7530206164819037e-07,0.20616841812928519,0.023056459493438458,0.04471008603771528,0.008769403412983016,1.7942708333333333,0.1620662279427251,,,,,,
2549,3,,,,,,,0.0,0.0,0.9999994436899821,9.104759881806056e-08,0.1996021419763565,0.02281533358650307,0.04790943985184034,0.015615359754079034,1.6848958333333333,0.09122020775071352,,,,,,
2599,3,,,,,,,0.0,0.0,0.9999995628992716,1.72063788530119e-07,0.2151330461104711,0.014620150238251313,0.04846638192733129,0.00583952526301985,1.8541666666666667,0.11959335940838578,,,,,,
2649,3,,,,,,,0.0,0.0,0.9999995032946268,1.2407696243918733e-07,0.1992103854815165,0.01661092532309853,0.03970517838994662,0.0005659696843218698,1.7734375,0.18271899318010157,,,,,,
2699,3,,,,,,,0.0,0.0,0.9999993443489075,5.960464477539063e-08,0.1947084218263626,0.015583911950648935,0.038783946384986244,0.0075942538206456465,1.734375,0.10568554108178659,,,,,,
2749,3,,,,,,,0.0,0.0,0.9999996423721313,1.1920928955078125e-07,0.20322296023368835,0.002773404498051129,0.048275042325258255,0.009477604079189707,1.7213541666666667,0.0813150781041458,,,,,,
2799,3,,,,,,,0.0,0.0,0.9999994039535522,1.7881393432617188e-07,0.18909265100955963,0.01597925983731683,0.039353070159753166,0.00541360437156993,1.6614583333333333,0.1376271902262897,,,,,,
2849,3,,,,,,,0.0,0.0,0.9999996225039164,3.6419039527224225e-07,0.20089002947012582,0.003244506593887314,0.04301242157816887,0.006064500369736387,1.7578125,0.08873294290312927,,,,,,
2899,3,,,,,,,0.0,0.0,0.999999483426412,1.9160212598230353e-07,0.19920516510804495,0.007992684438336438,0.03644474968314171,0.0056740173346732595,1.8072916666666667,0.06314768569261532,,,,,,
2949,3,,,,,,,0.0,0.0,0.9999994436899821,1.9160212598230353e-07,0.21055609484513602,0.025945966308269525,0.05332953482866287,0.019036744048175586,1.7447916666666667,0.10491269311710254,,,,,,
2999,3,,,,,,,0.0,0.0,0.999999483426412,3.4412757706023796e-08,0.19383545716603598,0.0013819170183494882,0.038562022149562836,0.001646733252277456,1.7239583333333333,0.018042195912175804,,,,,,
3049,3,,,,,,,0.0,0.0,0.999999483426412,2.093246331384329e-07,0.20545696715513864,0.029614281429547546,0.04660279552141825,0.011245807956203538,1.765625,0.2049199538844375,,,,,,
3099,3,,,,,,,0.0,0.0,0.9999995827674866,0.0,0.19671432673931122,0.007591949668597559,0.04144088799754778,0.0013407752133119178,1.7239583333333333,0.08711317022748818,,,,,,
3149,3,,,,,,,0.0,0.0,0.9999997019767761,1.5769906706002895e-07,0.21189764638741812,0.01734132488666746,0.04750962431232134,0.004982103091236816,1.8255208333333333,0.1376271902262897,,,,,,
3199,3,,,,,,,0.0,0.0,0.9999996423721313,5.960464477539063e-08,0.20680267115434012,0.013433427127349427,0.047297462821006775,0.009803660230362977,1.7734375,0.0546875,,,,,,
3249,3,,,,,,,0.0,0.0,0.999999483426412,1.3765103082409519e-07,0.1923334151506424,0.008100250808673184,0.039664145559072495,0.004549414357321988,1.6979166666666667,0.10946796644262345,,,,,,
3299,3,,,,,,,0.0,0.0,0.9696271220842997,0.052607006388199644,0.2016157259543737,0.013081826779087438,0.04601676265398661,0.008661249643895912,1.7265625,0.10825317547305482,,,,,,
3349,3,,,,,,,0.0,0.0,0.9999996026357015,1.72063788530119e-07,0.2042954961458842,0.020272188564290576,0.04739445447921753,0.01122579662629196,1.7421875,0.109375,,,,,,
3399,3,,,,,,,0.0,0.0,0.9999995231628418,2.0647654623614278e-07,0.20018929739793143,0.023776588500586154,0.04231169012685617,0.011780358585059863,1.7526041666666667,0.14788823817188212,,,,,,
3449,3,,,,,,,0.0,0.0,0.9999995628992716,1.8209519763612112e-07,0.19810152550538382,0.007016751896091373,0.03892183800538381,0.003461195329623366,1.7682291666666667,0.10834710449330584,,,,,,
3499,3,,,,,,,0.0,0.0,0.9999994238217672,2.093246331384329e-07,0.2004698465267817,0.005264601203745175,0.045196409026781716,0.008096259800349207,1.7265625,0.11348311754948398,,,,,,
3549,3,,,,,,,0.0,0.0,0.9999993642171224,3.2827678604639185e-07,0.20428535838921866,0.02649086858839497,0.04608223276833693,0.017296203591784323,1.7552083333333333,0.12410158914004016,,,,,,
3599,3,,,,,,,0.0,0.0,0.9999995032946268,1.8209519763612112e-07,0.21125592788060507,0.007665547979141222,0.04328717663884163,0.009379186058757172,1.8671875,0.0234375,,,,,,
3649,3,,,,,,,0.0,0.0,0.999999463558197,1.5769906706002895e-07,0.18696308135986328,0.0036799288992518447,0.04275734970966975,0.0038201958885574405,1.6041666666666667,0.08353653610596583,,,,,,
3699,3,,,,,,,0.0,0.0,0.9999994039535522,1.0323827311807139e-07,0.18895985186100006,0.0060119241075775294,0.034337457890311875,0.0030847354925920708,1.71875,0.06943901888527804,,,,,,
3749,3,,,,,,,0.0,0.0,0.9999992648760477,6.882551541204759e-08,0.2019211749235789,0.02684397496352723,0.039811806132396065,0.010699456473425413,1.8046875,0.18171411483770325,,,,,,
3799,3,,,,,,,0.0,0.0,0.9999993642171224,2.4815392487837465e-07,0.195489302277565,0.01091364230891871,0.03923929979403814,0.006721776917946682,1.7369791666666667,0.08018127249135756,,,,,,
