epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,2.137418508529663,0.9417643547058105,0.25035810470581055,7.6875,49,,,,,,
0,3.675041437149048,0.7608485817909241,0.2628017067909241,5.53125,99,,,,,,
0,2.9481961727142334,0.6416485905647278,0.21391421556472778,4.75,149,,,,,,
0,1.727180004119873,0.5111416578292847,0.15762606263160706,3.9375,199,,,,,,
0,2.383509635925293,0.5006924271583557,0.1491299420595169,3.90625,249,,,,,,
0,1.2106561660766602,0.4331720471382141,0.1538751870393753,3.09375,299,,,,,,
0,1.8350188732147217,0.39299488067626953,0.13713549077510834,2.84375,349,,,,,,
0,1.337797999382019,0.3664591312408447,0.11938881874084473,2.75,399,,,,,,
0,1.2268978357315063,0.3819892108440399,0.12808296084403992,2.828125,449,,,,,,
0,1.9470247030258179,0.3492252230644226,0.10410802066326141,2.71875,499,,,,,,
0,1.2037100791931152,0.3436219096183777,0.11608285456895828,2.53125,549,,,,,,
0,1.3524141311645508,0.3318426311016083,0.12090512365102768,2.34375,599,,,,,,
0,1.3855851888656616,0.32207223773002625,0.09453317523002625,2.53125,649,,,,,,
0,3.4256479740142822,0.3104410767555237,0.07997233420610428,2.5625,699,,,,,,
0,2.55342960357666,0.2901185154914856,0.07625133544206619,2.375,749,,,,,,
0,2.6070783138275146,0.3151381313800812,0.08564594388008118,2.546875,799,,,,,,
0,5.47775936126709,0.29544055461883545,0.08547963201999664,2.328125,849,,,,,,
0,3.5331132411956787,0.24935902655124664,0.06478871405124664,2.046875,899,,,,,,
0,1.9556857347488403,0.2818925380706787,0.07779098302125931,2.265625,949,,,,,,
0,2.5168957710266113,0.27106383442878723,0.06696227192878723,2.265625,999,,,,,,
0,1.8697540760040283,0.22793519496917725,0.04336487501859665,2.046875,1049,,,,,,
0,1.4857263565063477,0.28166183829307556,0.08341964334249496,2.203125,1099,,,,,,
0,2.98867130279541,0.24552559852600098,0.056072480976581573,2.109375,1149,,,,,,
0,2.7932777404785156,0.2545304596424103,0.07972577214241028,1.9453125,1199,,,,,,
0,1.0158888101577759,0.2188599407672882,0.051867756992578506,1.8515625,1249,,,,,,
0,1.394675374031067,0.20459014177322388,0.04345732927322388,1.7890625,1299,,,,,,
0,2.807527542114258,0.2325584590435028,0.06361314654350281,1.875,1349,,,,,,
0,3.2266006469726562,0.2340700328350067,0.06414816528558731,1.890625,1399,,,,,,
0,1.3647491931915283,0.20147304236888885,0.046199604868888855,1.7265625,1449,,,,,,
0,2.0791351795196533,0.22555507719516754,0.07321132719516754,1.6953125,1499,,,,,,
0,2.248523235321045,0.22554899752140045,0.05562712252140045,1.890625,1549,,,,,,
0,2.2193453311920166,0.2024509310722351,0.04424780607223511,1.7578125,1599,,,,,,
0,2.0069379806518555,0.2190859168767929,0.05795310065150261,1.7890625,1649,,,,,,
