step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,validate/sigreg_loss_step_mean,validate/sigreg_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/sigreg_loss_mean,fit/sigreg_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std,validate/sigreg_loss_epoch_mean,validate/sigreg_loss_epoch_std
5199,3,,,,,,,0.0,0.0,1.1798357963562012,0.21552624208325416,0.1917875756820043,0.0032319269214691566,0.043350079407294594,0.0028038909743556095,1.6510416666666667,0.011933790872280834,,,,,,
5249,3,,,,,,,0.0,0.0,1.7401808500289917,0.49859169946009396,0.19861156741778055,0.0019431575168748873,0.049523024509350456,0.0062035681992651595,1.65625,0.05633673867912483,,,,,,
5299,3,,,,,,,0.0,0.0,0.9483618140220642,0.26790555852325376,0.1744900643825531,0.007452319619077784,0.036469231049219765,0.0005395428097367753,1.53125,0.07928821535228296,,,,,,
5349,3,,,,,,,0.0,0.0,1.1706875165303547,0.3247829879503546,0.17534651358922324,0.008809074214526275,0.04123193149765333,0.006909699280185141,1.4921875,0.09789034442298178,,,,,,
5399,3,,,,,,,0.0,0.0,1.226402262846629,0.5647335598837421,0.18984142939249674,0.002853128975463946,0.044333621859550476,0.003955558598962751,1.6171875,0.020669932117692115,,,,,,
5449,3,,,,,,,0.0,0.0,1.2140289147694905,0.25567066121864707,0.18690831462542215,0.013776632767103537,0.04367914795875549,0.006674838948133025,1.59375,0.10825317547305482,,,,,,
5499,3,,,,,,,0.0,0.0,1.2604970534642537,0.33938712883494954,0.20273151497046152,0.02607650905136249,0.060153392453988395,0.029977952302711736,1.5833333333333333,0.06505206248331664,,,,,,
5549,3,,,,,,,0.0,0.0,1.1668957273165386,0.5339271344620671,0.19044740994771323,0.02127890315059827,0.04982241367300352,0.011001033193891754,1.5651041666666667,0.1151736686848749,,,,,,
5599,3,,,,,,,0.0,0.0,1.3279722332954407,0.6160699684678889,0.18877708911895752,0.013924893791585945,0.044571357468763985,0.0120760483836923,1.5989583333333333,0.16798388982156393,,,,,,
5649,3,,,,,,,0.0,0.0,1.0176409681638081,0.425221467817918,0.18765456477801004,0.014885136503978807,0.047355085611343384,0.007978363992912576,1.5572916666666667,0.1284516922410263,,,,,,
5699,3,,,,,,,0.0,0.0,1.5813679297765095,0.45691721203247543,0.19621088604132333,0.019425405619881403,0.04842443267504374,0.010390873653848881,1.640625,0.12401959270615269,,,,,,
5749,3,,,,,,,0.0,0.0,1.2807882229487102,0.38773185828631723,0.18819007774194083,0.020506575621979814,0.04951820274194082,0.012947797216503259,1.5416666666666667,0.09054863880580058,,,,,,
5799,3,,,,,,,0.0,0.0,1.2091994881629944,0.23040483704922243,0.1806318461894989,0.017450656231288268,0.0400068499147892,0.007193570706886289,1.5625,0.11348311754948398,,,,,,
5849,3,,,,,,,0.0,0.0,1.2463159163792927,0.12121234620678308,0.1804423133532206,0.00817169680081872,0.04339804748694102,0.0028556357186330836,1.5208333333333333,0.09155414495441118,,,,,,
5899,3,,,,,,,0.0,0.0,1.0831977327664692,0.336274793304364,0.1975137541691462,0.01556793697236153,0.05753979583581289,0.013178765893207234,1.5572916666666667,0.04577707247720559,,,,,,
5949,3,,,,,,,0.0,0.0,1.3486035068829854,0.5523330018234045,0.17956086496512094,0.013316517648914509,0.04446972409884135,0.008998254425773605,1.5,0.07928821535228296,,,,,,
5999,3,,,,,,,0.0,0.0,0.9971483747164408,0.2220253409633229,0.18802153567473093,0.01578060155570495,0.04446684941649437,0.008772299024458922,1.59375,0.08267972847076846,,,,,,
6049,3,,,,,,,0.0,0.0,0.9469782114028931,0.11453494544732076,0.19346476097901663,0.013989565587582312,0.049259030570586525,0.01186297319148843,1.6041666666666667,0.0369204345800985,,,,,,
6099,3,,,,,,,0.0,0.0,1.330906351407369,0.34215146720342665,0.19163763026396433,0.015095862715334377,0.05036159108082453,0.01626990441430524,1.5703125,0.062009796353076345,,,,,,
6149,3,,,,,,,0.0,0.0,0.9216196139653524,0.17990870567647857,0.18125693500041962,0.01186118080201395,0.04193401833375295,0.010542370631069022,1.546875,0.015625,,,,,,
6199,3,,,,,,,0.0,0.0,0.9845152497291565,0.21464088536706946,0.18441488345464072,0.014457799716883083,0.04509196678797404,0.0037452769109433495,1.546875,0.12178482240718669,,,,,,
6249,3,,,,,,,0.0,0.0,1.0268579721450806,0.26860411879977625,0.19620245695114136,0.021612419986723447,0.047764960676431656,0.01243637707081979,1.6458333333333333,0.1344869930591183,,,,,,
