step,n_seeds,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std
0,3,4.101712602966124,0.636260560529354,18.62949932147796,1.7368146201142027
500,3,2.710638299660897,0.21996312649519448,4.2019257486097645,0.3120631538156771
1000,3,2.2461762581432536,0.2289008876130445,3.7522244478146125,0.18341618203320104
1500,3,2.408135048098307,0.27084117246062883,3.780039161193498,0.24726361403827765
2000,3,2.3584869020591395,0.3017331524048315,3.5273734734180313,0.20852177896901186
2500,3,2.128109514551787,0.24235008989426696,3.6340819289644415,0.19599256984765395
3000,3,2.179881525115991,0.26968289145293217,3.7369784644842308,0.17050035737156935
3500,3,2.2187987987030535,0.19695207942256457,3.758032019482853,0.051209182166868726
4000,3,2.4605910599974345,0.6241599859616027,3.9318536441338856,0.3134131400916945
4500,3,2.434795110707236,0.2994588926683696,3.93255000940029,0.4342934894811226
5000,3,2.4634589628854866,0.03554341558617274,4.161819307881673,0.3633177823482734
5500,3,2.306323412347677,0.29530912748425575,3.7260754011132504,0.2290811137815586
6000,3,2.616868004039463,0.08365088960703959,3.955965398535426,0.318099855327614
6500,3,2.5737699358989863,0.05998971470560363,4.253689903675945,0.4426527789742486
7000,3,2.317217121609994,0.28267213385417744,4.122642881152732,0.3546511364645858
7500,3,2.5208299128031717,0.323465394500494,4.216987039418384,0.16681246766442545
8000,3,2.5453285387040814,0.27205393509895587,4.6399963545118315,0.5565349373403409
8500,3,2.8931547282493932,0.3479153907003743,5.032522432445245,0.1547497308108432
9000,3,2.8883260184762176,0.15906086980918244,5.375526276021536,0.41098137006396723
9500,3,2.567920614251904,0.015673719069112843,4.972497569803551,0.11879096641997046
10000,3,2.9204897635691656,0.26025603243992307,5.123838318928686,0.3800334429014261
10500,3,3.152555085860252,0.10035982761967885,5.735803505552164,0.7588967362760438
11000,3,3.4102673929880165,0.3196475065379589,6.324549634035599,0.7443757457332009
11500,3,3.556848252296233,0.7666209902561085,7.0748248590109855,1.5907855356572322
12000,3,3.8450141924956194,1.0998383674934096,7.087404728828389,2.7163252704541914
12500,3,4.1177285951767875,1.6083813884246538,7.899077481134849,2.618239237976944
13000,3,3.433293042047453,0.37898921706622385,7.364524642497625,1.6924542839884373
13500,3,4.1593456229726815,0.2737006356536604,7.95432749155983,0.3824932277244633
14000,3,3.447225845218853,0.8696194839891279,7.089902653238819,2.225241492258318
14500,3,3.5924126823915516,0.6465592380413431,8.293920099507687,0.6866274070790735
15000,3,3.8704658155078064,0.06215594913727223,8.053051943210066,0.46234928787515445
15500,3,4.053843153584594,0.6793380216305919,8.275345560263188,0.7432544184833327
16000,3,4.039777975973564,0.5110170948640897,7.886638875742745,1.7778848895670747
16500,3,4.103256850167878,0.6059370750958926,8.435602541468665,1.0719839868643153
17000,3,4.773551852656842,0.0889515729492328,9.490607405182347,0.3184207906096965
17500,3,5.3655010127998715,0.9867855670360495,10.4439760497021,1.066516650964216
18000,3,4.673749544162556,0.051499297804857076,9.440694725313904,0.11833860565357636
18500,3,4.38957571160876,1.264127710054677,8.917393423066372,1.8644049342741007
19000,3,5.100134693995962,1.3240596030012755,10.431154461261698,1.160689656579738
19500,3,5.380519847073035,1.7753699805556358,10.48378234228133,2.20078276297964
20000,3,5.2988683745179435,0.3033666485661118,11.092175600448462,0.6561778014458254
20500,3,5.521699026814139,1.0356397170267504,11.36067063223966,1.6703649956206545
21000,3,6.004707100599021,1.3909022831011222,11.541085117138975,1.7940687598584175
21500,3,6.300214605947539,2.0864939316697595,11.921584914266486,2.160514832998797
22000,3,4.709502499811949,1.0612241445202613,10.043662033547305,1.6296820864276038
22500,3,6.2029870374699465,1.117952300446422,12.447099130897673,0.9451649573121208
23000,3,7.296560222769879,0.38116835697425205,12.93000245873385,1.372767152716714
23500,3,6.030004474712391,2.080809202963237,11.884335984250852,2.8915757859029054
24000,3,6.455254927848581,1.4353862304983023,12.420748587102834,2.3297231946384267
24500,3,7.0544771708812455,1.6569951622328964,13.080315069415482,2.243802596250479
25000,3,7.297571848215818,1.1578533592961362,13.105357569552261,2.170089027832513
25500,3,6.842678890477304,2.1606788424065893,13.04742455802015,2.655335567679156
26000,3,7.271544970071055,2.2916316314882414,13.186971612971393,3.082152046969689
26500,3,7.4634102852041755,2.561342089097797,13.56754450533266,2.5868243851438986
27000,3,7.0882051423962045,2.6174717222050194,13.442512056019382,2.916058446132701
27500,3,7.245512750397969,1.0645932633915027,13.611620683129532,2.2637498467403603
28000,3,7.636794953573391,2.0369754323229285,13.776361261956048,2.5585081658422695
28500,3,8.032747412903685,1.1135081825690691,14.032750811004878,1.8427678282412985
29000,3,8.277665690349158,1.4516967199101352,14.28275670843481,2.0646105069396605
29500,3,6.811940592865916,1.0764557480966577,13.82248931172044,2.124592841770247
30000,3,8.152735673303374,2.2618107229845936,14.500274308160787,2.2625279989333738
