horizon,mse_mean,mse_std,n_seeds
1,0.004879573680227622,0.00015592774891231927,3
3,0.04264822400485476,0.016509608642553335,3
5,0.08094883873127401,0.021974106166458025,3
10,0.15459918230772018,0.045049884670187126,3
15,0.4382863737021883,0.2854011674499857,3
20,0.6400538658102354,0.6576215199888266,3
