epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step
0,0.121055968105793,0.12736672163009644,0.12736672163009644,49,,,,
0,0.06616229563951492,0.12498373538255692,0.12498373538255692,99,,,,
0,0.05724256858229637,0.08632728457450867,0.08632728457450867,149,,,,
0,0.06336762756109238,0.12460635602474213,0.12460635602474213,199,,,,
,,,,0,,0.08090116083621979,,0.08090116083621979
,,,,1,,0.11293358355760574,,0.11293358355760574
,,,,2,,0.10206785053014755,,0.10206785053014755
,,,,3,,0.09916607290506363,,0.09916607290506363
,,,,4,,0.08048094809055328,,0.08048094809055328
,,,,5,,0.11253539472818375,,0.11253539472818375
,,,,6,,0.10961952805519104,,0.10961952805519104
,,,,7,,0.08184422552585602,,0.08184422552585602
,,,,8,,0.10850738734006882,,0.10850738734006882
,,,,9,,0.09650472551584244,,0.09650472551584244
,,,,10,,0.10382836312055588,,0.10382836312055588
,,,,11,,0.08202747255563736,,0.08202747255563736
,,,,12,,0.08582457900047302,,0.08582457900047302
,,,,13,,0.10783300548791885,,0.10783300548791885
,,,,14,,0.08955978602170944,,0.08955978602170944
,,,,15,,0.08621761947870255,,0.08621761947870255
,,,,16,,0.10337327420711517,,0.10337327420711517
,,,,17,,0.07902685552835464,,0.07902685552835464
,,,,18,,0.09469947963953018,,0.09469947963953018
,,,,19,,0.1268605887889862,,0.1268605887889862
0,,,,199,0.09719060361385345,,0.09719060361385345,
