epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step
0,0.13240760564804077,0.12519924342632294,0.12519924342632294,49,,,,
0,0.06905942410230637,0.12141088396310806,0.12141088396310806,99,,,,
0,0.05305052548646927,0.07706194370985031,0.07706194370985031,149,,,,
0,0.06496104598045349,0.10823192447423935,0.10823192447423935,199,,,,
0,0.04757291078567505,0.059353750199079514,0.059353750199079514,249,,,,
0,0.07431282848119736,0.07681050896644592,0.07681050896644592,299,,,,
0,0.11150120943784714,0.07445517927408218,0.07445517927408218,349,,,,
0,0.06649655848741531,0.04952268302440643,0.04952268302440643,399,,,,
0,0.09645570069551468,0.06226206570863724,0.06226206570863724,449,,,,
0,0.08168891817331314,0.04784679412841797,0.04784679412841797,499,,,,
0,0.0916074886918068,0.04285329580307007,0.04285329580307007,549,,,,
0,0.08163455873727798,0.03985941782593727,0.03985941782593727,599,,,,
0,0.07657067477703094,0.04129943624138832,0.04129943624138832,649,,,,
0,0.06624719500541687,0.03997119143605232,0.03997119143605232,699,,,,
0,0.1572038233280182,0.08755692094564438,0.08755692094564438,749,,,,
0,0.09825314581394196,0.055914971977472305,0.055914971977472305,799,,,,
0,0.0685533657670021,0.04271325469017029,0.04271325469017029,849,,,,
0,0.06617998331785202,0.04472442343831062,0.04472442343831062,899,,,,
0,0.08244828134775162,0.04641181230545044,0.04641181230545044,949,,,,
0,0.056496139615774155,0.03558700159192085,0.03558700159192085,999,,,,
,,,,0,,0.03828231617808342,,0.03828231617808342
,,,,1,,0.05905347317457199,,0.05905347317457199
,,,,2,,0.05604241415858269,,0.05604241415858269
,,,,3,,0.050498709082603455,,0.050498709082603455
,,,,4,,0.03912154212594032,,0.03912154212594032
,,,,5,,0.05247919633984566,,0.05247919633984566
,,,,6,,0.046150337904691696,,0.046150337904691696
,,,,7,,0.04096643999218941,,0.04096643999218941
,,,,8,,0.0558340810239315,,0.0558340810239315
,,,,9,,0.05055727809667587,,0.05055727809667587
,,,,10,,0.05033330246806145,,0.05033330246806145
,,,,11,,0.03656601533293724,,0.03656601533293724
,,,,12,,0.04189079627394676,,0.04189079627394676
,,,,13,,0.05769706517457962,,0.05769706517457962
,,,,14,,0.04555386304855347,,0.04555386304855347
,,,,15,,0.040261492133140564,,0.040261492133140564
,,,,16,,0.05056045204401016,,0.05056045204401016
,,,,17,,0.03913130238652229,,0.03913130238652229
,,,,18,,0.04612349718809128,,0.04612349718809128
,,,,19,,0.06772234290838242,,0.06772234290838242
0,,,,999,0.04824129492044449,,0.04824129492044449,
