step,n_seeds,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std
0,2,113.00090800529668,3.864202275845872,538.0833333333333,2.003469213361911,1.8012689153353372,0.08747718897931087,24.25226139021126,1.4989754059123834
500,2,114.94677317976164,3.7205315840325723,538.4166666666667,1.296362432175364,1.7342595358689628,0.06587542587988089,24.489690665624874,1.068048551169525
1000,2,114.70484455159632,3.510668337524375,538.25,1.2963624321752836,1.7069906493028004,0.059910607193326075,24.406297730947706,0.9617559907482941
1500,2,114.03941990906222,3.411413253254665,537.6666666666667,1.1785113019775524,1.6916292011737823,0.05568392453936067,24.105133260652323,0.872866904093242
2000,2,113.09523403614611,3.5150297470214986,537.1666666666667,1.6499158227686377,1.6758120357990265,0.05100916468992635,23.814743969148893,0.8997618036817614
2500,2,112.18622212700612,3.361701708026307,536.9166666666667,1.5320646925708261,1.6621643801530204,0.03831503968062704,23.49505220152733,0.8098090098952792
3000,2,111.4642643137746,3.230611306017841,536.5833333333334,1.0606601717798212,1.6498162845770519,0.03435258966892589,23.24084344080122,0.7124905068063289
3500,2,110.80308655106688,3.071531179751858,536.0,0.9428090415820097,1.6402105490366616,0.03203536998674639,23.049295694943424,0.6213286092907695
4000,2,110.23427065303503,2.9448698393468438,535.75,1.0606601717798212,1.6348539292812347,0.029995251784576717,22.865355498373795,0.522785591392162
4500,2,109.77253065890253,2.9436837667629066,535.8333333333334,0.7071067811865476,1.6308279037475586,0.029399365591380087,22.72879869764874,0.4965404499891903
5000,2,109.44114590466627,2.8639137860958352,535.75,0.589255650988736,1.6283675034840903,0.02833316271565055,22.62404524490362,0.43611672620312786
5500,2,109.14814240201805,2.8499488473465395,535.3333333333333,0.9428090415820902,1.6270184417565663,0.027475656984797352,22.541878469819956,0.41420383034039593
6000,2,108.97968697853311,2.8238051507400805,535.25,0.824957911384359,1.6257058382034302,0.026760101839729,22.497847617407782,0.39085989947966127
6500,2,108.86347935952367,2.8320075023149514,535.1666666666667,0.9428090415820902,1.6252824068069458,0.02660915992626188,22.463877027183308,0.39456024298959763
7000,2,108.79699214289691,2.8023752441573793,535.1666666666667,0.9428090415820902,1.6251535018285117,0.02616555029673527,22.44263475273937,0.3778643612567886
7500,2,108.7723957078239,2.8043395019392525,535.1666666666667,0.9428090415820902,1.6251127421855927,0.02620237259338434,22.433901375023225,0.37661680620780763
8000,2,108.76943395501063,2.804831383870414,535.1666666666667,0.9428090415820902,1.625069866577784,0.02618860462287073,22.43358094169878,0.3766020056139938
