step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/rand_diff_loss_mean,fit/rand_diff_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std
599,2,,,,,0.0,0.0,0.10421838611364365,0.005343050816135186,0.15594681352376938,0.0017366714296035164,0.0907956138253212,0.0031423004375782156,6.515120029449463,0.14056344870650056,,,,
649,2,,,,,0.0,0.0,0.10079168528318405,0.0009476192052068137,0.15100324153900146,0.005852237429707425,0.08992189541459084,0.005602543694060697,6.108134984970093,0.024969478931794062,,,,
699,2,,,,,0.0,0.0,0.10409724712371826,0.011192580310825786,0.16264210641384125,0.02306332448761611,0.09896770119667053,0.024401508001261254,6.367440223693848,0.13381792989602898,,,,
749,2,,,,,0.0,0.0,0.11035047844052315,0.021742415913504374,0.19380152970552444,0.035035568812332794,0.1298253908753395,0.034438305822084916,6.397614240646362,0.05972613043739389,,,,
799,2,,,,,0.0,0.0,0.10514916107058525,0.00823655313859753,0.17488372325897217,0.011048206281251718,0.11063212528824806,0.013074821686829866,6.425159454345703,0.20266227812766374,,,,
849,2,,,,,0.0,0.0,0.10129080712795258,0.003620877902419417,0.15632560104131699,0.0032600481956055255,0.09384794160723686,0.0020110421450533727,6.247766494750977,0.12490033110069998,,,,
899,2,,,,,0.0,0.0,0.10340425744652748,0.00771973794544482,0.16188527643680573,0.0009732339523893096,0.10093939304351807,0.0025048188171388156,6.094588279724121,0.15315827574070803,,,,
949,2,,,,,0.0,0.0,0.09906553477048874,0.00230031177145183,0.16314875334501266,0.007529987565092711,0.10347426682710648,0.010266603512329315,5.967448711395264,0.27366117325517536,,,,
999,2,,,,,0.0,0.0,0.09907123818993568,0.0065980838660243965,0.14819484949111938,0.009829488009710705,0.08751020953059196,0.008728438470856047,6.068463325500488,0.11010510139943575,,,,
1049,2,,,,,0.0,0.0,0.09907440468668938,0.003108019244670667,0.1743154376745224,0.012055452740389319,0.11297518014907837,0.007824541352623221,6.134026527404785,0.4230909701892157,,,,
1099,2,,,,,0.0,0.0,0.09909586608409882,0.009782083341848078,0.15541766583919525,0.00483774171262595,0.09584425389766693,0.00271280297782795,5.957341194152832,0.2124942949482851,,,,
1149,2,,,,,0.0,0.0,0.09633706510066986,0.004343980845608698,0.15443027019500732,0.011482108086671373,0.09595154225826263,0.009414467992423932,5.847873210906982,0.20676434659953202,,,,
1199,2,,,,,0.0,0.0,0.09991088137030602,0.0005379254959006044,0.15553879737854004,0.007051504930660659,0.09727145358920097,0.008030781687455218,5.82673454284668,0.09792837110245632,,,,
1249,2,,,,,0.0,0.0,0.09846260398626328,0.0037650306610388026,0.15487871319055557,0.01563798754737595,0.09612288326025009,0.01360696252777235,5.8755834102630615,0.20310296557569366,,,,
1299,2,,,,,0.0,0.0,0.09717287495732307,0.007127248085790799,0.16198977828025818,0.008173791212808744,0.10275524109601974,0.008052703317036947,5.9234538078308105,0.012109295339361986,,,,
1349,2,,,,,0.0,0.0,0.09526263177394867,0.008920074922679018,0.1447090208530426,0.005355937215067392,0.08807884156703949,0.006524458590031929,5.663017749786377,0.11685129455948348,,,,
1399,2,,,,,0.0,0.0,0.09448093920946121,0.012152653909767568,0.15596535056829453,0.019801885446009727,0.09986312314867973,0.018227010499483467,5.610223293304443,0.1574869256701709,,,,
1449,2,,,,,0.0,0.0,0.09812955558300018,0.0060947187859027255,0.16376286000013351,0.03090880228723712,0.10783134028315544,0.029951578868925886,5.5931525230407715,0.095721899289214,,,,
1499,2,,,,,0.0,0.0,0.09517119452357292,0.006669733508492917,0.13247201591730118,0.006269227812162082,0.07485100626945496,0.004696086154780835,5.7621009349823,0.15731462935345836,,,,
1549,2,,,,,0.0,0.0,0.09020236134529114,0.006015103389065647,0.15277613699436188,0.027282582271768947,0.09905217960476875,0.028347691085555942,5.3723955154418945,0.1065108181584267,,,,
1599,2,,,,,0.0,0.0,0.09868580102920532,0.008905513186518504,0.17305350303649902,0.001123972156088522,0.11732709780335426,0.0022841537234039658,5.5726399421691895,0.11601847283290823,,,,
1649,2,,,,,0.0,0.0,0.09348089247941971,0.002344060200206138,0.16206888109445572,0.026528480321499903,0.10692382231354713,0.027724318122655564,5.5145063400268555,0.11958375904214177,,,,
1699,2,,,,,0.0,0.0,0.09424150735139847,0.006245952215071941,0.14622336626052856,0.03207010601439417,0.09256286546587944,0.029172262566535198,5.366050481796265,0.2897845344467149,,,,
1749,2,,,,,0.0,0.0,0.09497048333287239,0.003099948123180831,0.1463773101568222,0.009832775463894557,0.09288538619875908,0.012265085896526442,5.3491926193237305,0.2432311486303099,,,,
1799,2,,,,,0.0,0.0,0.09948619455099106,0.00134698166827179,0.15419550240039825,0.012184506390529676,0.09993494302034378,0.011959716173996823,5.426055431365967,0.02247944312177044,,,,
1849,2,,,,,0.0,0.0,0.09465000778436661,0.013553615154269685,0.16461697220802307,0.02051582144964789,0.11306604370474815,0.02004451958453088,5.155093669891357,0.047130291878822145,,,,
1899,2,,,,,0.0,0.0,0.09267960488796234,0.0014581334445071454,0.1463243067264557,0.018872326165389832,0.09635984525084496,0.016263378290648788,4.99644660949707,0.2608950614286196,,,,
1949,2,,,,,0.0,0.0,0.09443404525518417,0.002425350934271525,0.15876784175634384,0.015386497302311446,0.10769880190491676,0.018846326828214674,5.106903553009033,0.34598246790156484,,,,
1999,2,,,,,0.0,0.0,0.08968867361545563,0.0009358180876237633,0.1445438116788864,0.010477854053778045,0.0949193611741066,0.011628989853731838,4.9624457359313965,0.1151134957016823,,,,
2049,2,,,,,0.0,0.0,0.09379268065094948,0.002086211049372552,0.14341814815998077,0.007334247063895991,0.09540552645921707,0.0020310144828914723,4.801261901855469,0.5303233423941489,,,,
2099,2,,,,,0.0,0.0,0.09506896510720253,0.008662447042800114,0.15468931198120117,0.014118203800209495,0.10791796818375587,0.007648931239946518,4.677134275436401,0.6469268134843883,,,,
2149,2,,,,,0.0,0.0,0.09232422336935997,0.0002834322878796985,0.13711101561784744,5.8173187657161485e-05,0.08914141729474068,0.004315600211492675,4.796959638595581,0.42574284989752115,,,,
2199,2,,,,,0.0,0.0,0.09381238371133804,0.003210557258741608,0.14118432998657227,0.011555738631019904,0.09479383006691933,0.01577158778879942,4.639050006866455,0.42158582193519467,,,,
2249,2,,,,,0.0,0.0,0.09438890963792801,0.0005303337948125796,0.11945107951760292,0.01056899134532679,0.07258817926049232,0.0060295228796124365,4.686290264129639,0.45394718374622334,,,,
2299,2,,,,,0.0,0.0,0.09209122881293297,3.3870261134567216e-05,0.14606114476919174,0.0056336533366178,0.10075671970844269,0.0003238669206698375,4.530442237854004,0.5957514356728846,,,,
2349,2,,,,,0.0,0.0,0.09290989115834236,0.0013973840307347554,0.1421511545777321,0.005538443605831691,0.0976826660335064,0.011724563101086353,4.446848392486572,0.6186118863051936,,,,
2399,2,,,,,0.0,0.0,0.09537065774202347,0.002335093458185445,0.14387257397174835,0.013404109745889417,0.09999924153089523,0.02057047537545439,4.3873337507247925,0.7166368579844369,,,,
2449,2,,,,,0.0,0.0,0.08743387833237648,0.004177579819331625,0.1301167830824852,0.012316373342808136,0.08693280071020126,0.016643969601058226,4.318398475646973,0.43275979441240287,,,,
2499,2,,,,,0.0,0.0,0.09102818369865417,0.004838637333156806,0.14216266945004463,0.02740659410515619,0.09856242313981056,0.03271393600389052,4.360024452209473,0.5307346956356153,,,,
2549,2,,,,,0.0,0.0,0.09205861762166023,0.00323450193705186,0.14032312482595444,0.01951421213149862,0.09796597063541412,0.01478236437575629,4.2357155084609985,0.47318485986792985,,,,
2599,2,,,,,0.0,0.0,0.10003552958369255,0.011217420609666894,0.13668601214885712,0.01461087938587759,0.0928775817155838,0.009990552191295087,4.380842685699463,0.46203263516455323,,,,
2649,2,,,,,0.0,0.0,0.09233950823545456,0.004017743164710123,0.14370395243167877,0.003195131512186621,0.10209424793720245,0.0020950250090673926,4.160970330238342,0.5290162843281291,,,,
2699,2,,,,,0.0,0.0,0.08817453682422638,0.0016605963680413527,0.1255231462419033,0.0156331986117139,0.08396273478865623,0.010273900185477764,4.156041145324707,0.5359298847704621,,,,
2749,2,,,,,0.0,0.0,0.09264864772558212,0.0023026087746956738,0.15546688437461853,0.001803758675720732,0.1141531653702259,0.0066230980206156125,4.131372451782227,0.48193336550703314,,,,
2799,2,,,,,0.0,0.0,0.09195311367511749,0.0052154090854199435,0.12788929790258408,0.015542798890014095,0.08618166670203209,0.008949351177325898,4.170762777328491,0.659344286580062,,,,
2849,2,,,,,0.0,0.0,0.08848812058568001,0.009980083967796195,0.12231187149882317,0.023747942089758882,0.08125868439674377,0.016519099025632575,4.105318784713745,0.7228842010455097,,,,
2899,2,,,,,0.0,0.0,0.09354505687952042,0.00277352604982002,0.11604101210832596,0.005387062662692687,0.07555994391441345,0.01043636048141907,4.048106908798218,0.5049296975789412,,,,
2949,2,,,,,0.0,0.0,0.0963466726243496,0.0009787499211881727,0.12818942964076996,0.01188909912931682,0.08695148304104805,0.016475239961400923,4.123794078826904,0.4586143571629257,,,,
2999,2,,,,,0.0,0.0,0.09173528477549553,0.006127134980763667,0.13032129406929016,0.014711441766424584,0.09055139496922493,0.008514553751375387,3.976989507675171,0.6196884854035558,,,,
3049,2,,,,,0.0,0.0,0.08983832970261574,0.012468939666061508,0.1352846696972847,0.029979801452359994,0.0966787338256836,0.031783928913005195,3.860593557357788,0.1804131253861568,,,,
3099,2,,,,,0.0,0.0,0.0900794267654419,0.005039751557538665,0.129216268658638,0.013830909807334986,0.09069080650806427,0.01845616818319326,3.852546453475952,0.46252592187952474,,,,
3149,2,,,,,0.0,0.0,0.09230916574597359,0.0019535116968360023,0.1329992637038231,0.0006996271485687132,0.09420466423034668,0.003180306358222914,3.879459500312805,0.3879936035602538,,,,
3199,2,,,,,0.0,0.0,0.0928884707391262,0.012189242642631088,0.13257183879613876,0.02397478169680058,0.0930197536945343,0.01822767958070358,3.955208420753479,0.5747095372601237,,,,
3249,2,,,,,0.0,0.0,0.0924990177154541,0.005259768643477659,0.1282997727394104,0.002470648259708608,0.09001555666327477,0.0002632334107308525,3.8284215927124023,0.27338873602640096,,,,
3299,2,,,,,0.0,0.0,0.08558608591556549,0.003173099247127551,0.12525933235883713,0.0016618186266481685,0.0885067880153656,0.0006447624885196569,3.675255060195923,0.23065823795732807,,,,
3349,2,,,,,0.0,0.0,0.08884074166417122,0.0009708052402438692,0.11494855582714081,0.0031809701710869605,0.07921798154711723,0.006001758643155885,3.573058009147644,0.2820789104271652,,,,
3399,2,,,,,0.0,0.0,0.08864058181643486,0.004050475460934897,0.12321027368307114,0.02270512895883415,0.08644529432058334,0.017010373228587682,3.676498055458069,0.5694752358498588,,,,
3449,2,,,,,0.0,0.0,0.09436311200261116,0.00791556274033856,0.12893974781036377,0.008180724369388787,0.09148009493947029,0.004406426670033652,3.7459654808044434,0.3774300860368774,,,,
3499,2,,,,,0.0,0.0,0.09457839652895927,0.009728614796155945,0.11929308623075485,0.016558158617490045,0.08210020139813423,0.018655612338702877,3.7192881107330322,0.20974530890101054,,,,
3549,2,,,,,0.0,0.0,0.09938889369368553,0.02026294562693859,0.14037416875362396,0.061535178542602736,0.10318202525377274,0.05649303515141108,3.7192142009735107,0.5042142126786202,,,,
3599,2,,,,,0.0,0.0,0.09296951815485954,0.0014319444465136885,0.1093905046582222,0.0038858656757195355,0.07265391573309898,0.0005385998454767787,3.6736589670181274,0.3347267305382455,,,,
3649,2,,,,,0.0,0.0,0.08524112775921822,0.00038387876459328673,0.12453218549489975,0.0031042523700850057,0.09009866788983345,0.0009200604346367528,3.4433515071868896,0.21841879314976445,,,,
3699,2,,,,,0.0,0.0,0.09185191616415977,0.0019533431094419587,0.10919607803225517,0.0022521537286720695,0.07225379720330238,0.000655810231185575,3.694227933883667,0.15963472907028606,,,,
3749,2,,,,,0.0,0.0,0.09219558909535408,0.008778277119220178,0.12799867987632751,0.023335424541602444,0.0928850919008255,0.02570252853123191,3.5113584995269775,0.23671052540349247,,,,
3799,2,,,,,0.0,0.0,0.08789904788136482,6.401579453198417e-05,0.10674766451120377,0.0005728283548236885,0.07111313939094543,0.0028160100731190016,3.56345272064209,0.22431834041692536,,,,
3849,2,,,,,0.0,0.0,0.09033509343862534,0.00449666834105154,0.12036635354161263,0.002341926516000274,0.08419740572571754,0.0014410165556556585,3.6168947219848633,0.37829426501874475,,,,
3899,2,,,,,0.0,0.0,0.08793677762150764,0.005882219644066862,0.1055491678416729,0.006548150387251115,0.07024161517620087,0.003946609821135862,3.5307552814483643,0.26015395124440405,,,,
3949,2,,,,,0.0,0.0,0.089325200766325,0.0024844039373913512,0.12731105461716652,0.021997931182601668,0.09295591711997986,0.019560341857193794,3.4355140924453735,0.24375933293584842,,,,
3999,2,,,,,0.0,0.0,0.09298737347126007,0.0009967308204341329,0.11619675904512405,0.009440272400424728,0.08132940903306007,0.013778600299976903,3.4867351055145264,0.4338330217628843,,,,
