step,n_seeds,mse_mean,mse_std,overall_r2_mean,overall_r2_std,r2_dim0_mean,r2_dim0_std,r2_dim1_mean,r2_dim1_std,r2_dim2_mean,r2_dim2_std,r2_dim3_mean,r2_dim3_std,r2_dim4_mean,r2_dim4_std,r2_dim5_mean,r2_dim5_std,r2_dim6_mean,r2_dim6_std
0,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
500,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
1000,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
1500,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
2000,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
2500,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
3000,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
3500,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
4000,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
4500,2,0.5784058272838593,0.07174552654888214,0.4480150640010834,0.031555387626954874,0.6251447796821594,0.26060298376843916,0.6493820548057556,0.024149048378680996,0.8509174287319183,0.05220852350905125,0.8693422675132751,0.033657461696435714,0.19720256328582764,0.08484169034612671,0.028288573026657104,0.10356369977630243,-0.08417248725891113,0.08271015562953675
