epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,fit/rand_diff_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step
0,0.11538609117269516,0.2344019114971161,0.21437539160251617,2.002652168273926,49,,,,
0,0.11308202892541885,0.22109970450401306,0.15724605321884155,6.385365962982178,99,,,,
0,0.1066194698214531,0.17493084073066711,0.10789935290813446,6.703147888183594,149,,,,
0,0.12555678188800812,0.21578553318977356,0.148005411028862,6.778012275695801,199,,,,
0,0.11134455353021622,0.1629357486963272,0.09589094668626785,6.7044806480407715,249,,,,
0,0.11079231649637222,0.190720796585083,0.12469608336687088,6.602470874786377,299,,,,
0,0.11802683025598526,0.18884798884391785,0.12068527191877365,6.81627082824707,349,,,,
0,0.10967399179935455,0.16055458784103394,0.0939948633313179,6.655973434448242,399,,,,
0,0.10855460911989212,0.17835015058517456,0.11226601153612137,6.608415126800537,449,,,,
0,0.11448446661233902,0.1620117723941803,0.09512209892272949,6.688966751098633,499,,,,
0,0.10625234991312027,0.14632835984230042,0.08321966230869293,6.310869216918945,549,,,,
0,0.10799649357795715,0.1547188013792038,0.08857367187738419,6.614513397216797,599,,,,
0,0.1014617532491684,0.1468650847673416,0.08596029877662659,6.090478897094727,649,,,,
0,0.11201159656047821,0.14633387327194214,0.0817132294178009,6.462063789367676,699,,,,
0,0.1257246881723404,0.21857541799545288,0.15417695045471191,6.439846992492676,749,,,,
0,0.1109732836484909,0.18269598484039307,0.1198774203658104,6.281855583190918,799,,,,
0,0.10385115444660187,0.15863080322742462,0.09526996314525604,6.336084365844727,849,,,,
0,0.10886293649673462,0.16119709610939026,0.09916821867227554,6.202887535095215,899,,,,
0,0.09743896871805191,0.15782424807548523,0.09621468186378479,6.160956382751465,949,,,,
0,0.09440568834543228,0.14124435186386108,0.08133827149868011,5.990607261657715,999,,,,
0,0.09687670320272446,0.16579094529151917,0.10744239389896393,5.834856033325195,1049,,,,
0,0.10601284354925156,0.15883846580982208,0.09776249527931213,6.107597351074219,1099,,,,
0,0.09326540678739548,0.1463111937046051,0.08929450809955597,5.701668739318848,1149,,,,
0,0.10029125213623047,0.16052496433258057,0.1029500737786293,5.75748872756958,1199,,,,
0,0.10112488269805908,0.14382098615169525,0.08650130778551102,5.731967926025391,1249,,,,
0,0.10221260040998459,0.16776952147483826,0.10844936221837997,5.932016372680664,1299,,,,
0,0.10157007724046707,0.14092180132865906,0.08346535265445709,5.7456440925598145,1349,,,,
0,0.10307416319847107,0.1699673980474472,0.1127515658736229,5.721583366394043,1399,,,,
0,0.09381993860006332,0.14190703630447388,0.08665237575769424,5.5254669189453125,1449,,,,
0,0.0998874083161354,0.1369050294160843,0.07817164063453674,5.8733391761779785,1499,,,,
0,0.09445568174123764,0.17206783592700958,0.1190970242023468,5.297080993652344,1549,,,,
0,0.10498294979333878,0.17225873470306396,0.11571195721626282,5.654677391052246,1599,,,,
0,0.09513839334249496,0.18082734942436218,0.12652787566184998,5.429947853088379,1649,,,,
0,0.09865806251764297,0.16890035569667816,0.11319077014923096,5.570959091186523,1699,,,,
0,0.09716247767210007,0.13942448794841766,0.08421266078948975,5.521183013916016,1749,,,,
0,0.10043865442276001,0.1628112494945526,0.10839173942804337,5.441950798034668,1799,,,,
0,0.08506615459918976,0.15011009573936462,0.09889242798089981,5.121767520904541,1849,,,,
0,0.09371066093444824,0.15966905653476715,0.1078597903251648,5.180927276611328,1899,,,,
0,0.09271906316280365,0.1478879451751709,0.09437243640422821,5.351550102233887,1949,,,,
0,0.08902695029973984,0.137134850025177,0.08669642359018326,5.0438432693481445,1999,,,,
0,0.09526785463094711,0.14860424399375916,0.09684167057275772,5.176257133483887,2049,,,,
0,0.10119424015283585,0.164672389626503,0.11332657933235168,5.134580612182617,2099,,,,
0,0.09252464026212692,0.13706988096237183,0.08608982712030411,5.098005294799805,2149,,,,
0,0.09608259052038193,0.13301318883895874,0.08364163339138031,4.9371562004089355,2199,,,,
0,0.09401390701532364,0.12692448496818542,0.07685169577598572,5.007279396057129,2249,,,,
0,0.09211517870426178,0.1500447392463684,0.10052771121263504,4.951702117919922,2299,,,,
0,0.09192179143428802,0.13823488354682922,0.08939214795827866,4.884273052215576,2349,,,,
0,0.09702181816101074,0.13439443707466125,0.08545371890068054,4.894072532653809,2399,,,,
0,0.08447988331317902,0.12140779197216034,0.07516373693943024,4.624405860900879,2449,,,,
0,0.0876067504286766,0.12278328090906143,0.07543017715215683,4.7353105545043945,2499,,,,
0,0.09434575587511063,0.1541217565536499,0.10841868072748184,4.570307731628418,2549,,,,
0,0.10796744376420975,0.1470174640417099,0.09994196891784668,4.707549095153809,2599,,,,
0,0.09518048167228699,0.14596325159072876,0.10061284154653549,4.535041332244873,2649,,,,
0,0.08700031787157059,0.13657748699188232,0.09122747927904129,4.535000801086426,2699,,,,
0,0.09102045744657516,0.15419143438339233,0.1094699278473854,4.472150802612305,2749,,,,
0,0.09564096480607986,0.1388797163963318,0.09250981360673904,4.636989593505859,2799,,,,
0,0.09554510563611984,0.1391042023897171,0.09293945133686066,4.6164751052856445,2849,,,,
0,0.09550623595714569,0.1122317835688591,0.06818032264709473,4.40514612197876,2899,,,,
0,0.09703875333070755,0.11978256702423096,0.07530172914266586,4.448083400726318,2949,,,,
0,0.09606782346963882,0.14072385430335999,0.09657209366559982,4.415175437927246,2999,,,,
0,0.08102145791053772,0.11408574879169464,0.07420410215854645,3.9881649017333984,3049,,,,
0,0.09364306926727295,0.1194363385438919,0.07764032483100891,4.179601669311523,3099,,,,
0,0.09092782437801361,0.13349397480487823,0.09195584803819656,4.153812408447266,3149,,,,
0,0.10150756686925888,0.14952456951141357,0.10590866953134537,4.361589431762695,3199,,,,
0,0.08877979964017868,0.1300467848777771,0.08982942253351212,4.0217366218566895,3249,,,,
0,0.08334236592054367,0.12643441557884216,0.08805087208747864,3.83835506439209,3299,,,,
0,0.0895272046327591,0.11269927024841309,0.07497409731149673,3.7725179195404053,3349,,,,
0,0.09150470048189163,0.13926522433757782,0.0984734445810318,4.0791778564453125,3399,,,,
0,0.09996026009321213,0.13472439348697662,0.09459590911865234,4.012848854064941,3449,,,,
0,0.08769922703504562,0.10758469998836517,0.06890869140625,3.867600440979004,3499,,,,
0,0.1137169599533081,0.1838861107826233,0.1431286334991455,4.075747489929199,3549,,,,
0,0.0919569805264473,0.11213822662830353,0.07303476333618164,3.910346508026123,3599,,,,
