step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,validate/sigreg_loss_step_mean,validate/sigreg_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/sigreg_loss_mean,fit/sigreg_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std,validate/sigreg_loss_epoch_mean,validate/sigreg_loss_epoch_std
0,3,0.1646085431178411,0.03465347497942098,0.010637188330292702,0.0027149806958894594,1.7109375,0.36030789242500644,,,,,,,,,,,,,,,,
1,3,0.153548131386439,0.007353255949646162,0.013248655013740063,0.005883469219150351,1.5598958333333333,0.13219833485934432,,,,,,,,,,,,,,,,
2,3,0.1622157742579778,0.02847546298241224,0.013615511978665987,0.0062461628993122666,1.6510416666666667,0.25150102768593874,,,,,,,,,,,,,,,,
3,3,0.15216863652070364,0.009148625653355965,0.015449889625112215,0.006609548325304706,1.515625,0.03125,,,,,,,,,,,,,,,,
4,3,0.1703586926062902,0.013162240993755656,0.01280661408479015,0.005485068073267783,1.7473958333333333,0.09830513587592123,,,,,,,,,,,,,,,,
5,3,0.1586815466483434,0.014226299930277691,0.01252269527564446,0.0034444590425526823,1.625,0.12128261481453144,,,,,,,,,,,,,,,,
6,3,0.16416693727175394,0.010620681055653315,0.011172143121560415,0.0003508637883270222,1.6979166666666667,0.11727427342914273,,,,,,,,,,,,,,,,
7,3,0.13269583880901337,0.016226881485929257,0.013555215361217657,0.005103696298997968,1.3229166666666667,0.12360879464901894,,,,,,,,,,,,,,,,
8,3,0.16203824679056802,0.019057482652022652,0.010996575156847635,0.0033918524786498293,1.6744791666666667,0.1761425684696443,,,,,,,,,,,,,,,,
9,3,0.16195322573184967,0.00850187672125463,0.01416676864027977,0.003379362247830277,1.640625,0.12401959270615269,,,,,,,,,,,,,,,,
10,3,0.1729326049486796,0.03629397018981923,0.01261360136171182,0.005491157548849458,1.7838541666666667,0.3742124977731013,,,,,,,,,,,,,,,,
11,3,0.16114058593908945,0.038745262094084756,0.010749960939089457,0.0035671272033245757,1.671875,0.39241776108982374,,,,,,,,,,,,,,,,
12,3,0.15518016119798025,0.024992735841791063,0.013578597766657671,0.006138390000316196,1.5729166666666667,0.21457132349077623,,,,,,,,,,,,,,,,
13,3,0.15686771273612976,0.03315495607007316,0.013638546845565239,0.0070243529384234294,1.59375,0.29189908894170946,,,,,,,,,,,,,,,,
14,3,0.16652866204579672,0.03181419369765769,0.012231789218882719,0.0046465542044676345,1.7161458333333333,0.3009925529428981,,,,,,,,,,,,,,,,
15,3,0.1567236284414927,0.02376350729690954,0.011378576358159384,0.0034403524565389237,1.6145833333333333,0.23180009178618402,,,,,,,,,,,,,,,,
16,3,0.15948435167471567,0.01650661431604396,0.013325496576726437,0.004071359895441216,1.6223958333333333,0.15435043242434837,,,,,,,,,,,,,,,,
17,3,0.16037712494532266,0.01542403952126327,0.011614101628462473,0.00346038560757121,1.6536458333333333,0.14850601488940887,,,,,,,,,,,,,,,,
18,3,0.1744751830895742,0.031080650462021714,0.01106372537712256,0.005634690118319765,1.8151041666666667,0.3347848442314606,,,,,,,,,,,,,,,,
19,3,0.15507438282171884,0.017162125269496637,0.013472824512670437,0.006208410579319464,1.578125,0.12278307535548212,,,,,,,,,,,,,,,,
49,3,,,,,,,0.0,0.0,2.2004329363505044,0.06699493654940834,0.9472011129061381,0.0047379573429670255,0.25188861787319183,0.006524122396472745,7.729166666666667,0.07216878364870322,,,,,,
99,3,,,,,,,0.0,0.0,4.199723402659099,0.6859661046768825,0.7788154284159342,0.03172493579070291,0.2560289849837621,0.010013518732498464,5.8125,0.31715286140913185,,,,,,
149,3,,,,,,,0.0,0.0,3.355658213297526,0.42707157860183165,0.6307934919993082,0.010714378706253701,0.21738202373186746,0.004019917819959445,4.59375,0.15625,,,,,,
199,3,,,,,,,0.0,0.0,1.7915178140004475,0.0713978649945862,0.5325543085734049,0.022920249222969785,0.17903870344161987,0.020045179155577537,3.9270833333333335,0.06314768569261532,,,,,,
249,3,,,,,,,0.0,0.0,2.197953383127848,0.2635234591232554,0.49017564455668133,0.0241901436051906,0.15944649279117584,0.012568516330105025,3.671875,0.4059494080239556,,,,,,
299,3,,,,,,,0.0,0.0,1.731574813524882,0.4562287084061947,0.4389030734697978,0.015600788638552129,0.15569994350274405,0.02070999217274744,3.1458333333333335,0.07707629472369136,,,,,,
349,3,,,,,,,0.0,0.0,1.5112805366516113,0.2911504087222173,0.3972150882085164,0.02390089127686862,0.1335432082414627,0.018030837339491467,2.9270833333333335,0.09547032697824667,,,,,,
399,3,,,,,,,0.0,0.0,1.276961326599121,0.06623612948661059,0.3611941834290822,0.019519657060973816,0.11217074344555537,0.023724253784716903,2.7708333333333335,0.050227347713504976,,,,,,
449,3,,,,,,,0.0,0.0,1.4903668959935505,0.37234041122502576,0.39569196105003357,0.035005831804055525,0.13006697098414102,0.015450735382329921,2.953125,0.21650635094610965,,,,,,
499,3,,,,,,,0.0,0.0,1.8033504088719685,0.23718149896807525,0.3492180109024048,0.006393852900402175,0.10182217756907146,0.01579573100010725,2.75,0.11267347735824966,,,,,,
549,3,,,,,,,0.0,0.0,2.0825138489405313,1.3138774138543763,0.3437928954760234,0.0298415520108143,0.10127987712621689,0.012831304326728047,2.6927083333333335,0.34950206395432537,,,,,,
599,3,,,,,,,0.0,0.0,2.727155645688375,2.1783910098926915,0.3277173141638438,0.022316833759103694,0.089761587480704,0.031198470831641213,2.640625,0.2665425329567497,,,,,,
649,3,,,,,,,0.0,0.0,1.8300235271453857,0.4803675856279987,0.31221388777097064,0.030508513724978953,0.07230503484606743,0.021582223312675203,2.6666666666666665,0.24820317828008032,,,,,,
699,3,,,,,,,0.0,0.0,2.822794278462728,0.5264659373189704,0.29352391759554547,0.01956331606056097,0.06663589552044868,0.01285337753658266,2.5208333333333335,0.08605578980134534,,,,,,
749,3,,,,,,,0.0,0.0,2.0898776849110923,0.4021211839165003,0.29275014996528625,0.022597185379262558,0.07400015120704968,0.016251677726118203,2.4322916666666665,0.08605578980134534,,,,,,
799,3,,,,,,,0.0,0.0,2.781601667404175,0.6907134897071547,0.2923148274421692,0.020537715619242815,0.07128618036707242,0.013121877742875042,2.453125,0.13621559198564606,,,,,,
849,3,,,,,,,0.0,0.0,3.465342402458191,2.125778624661915,0.264631728331248,0.02795692537389064,0.06541298578182857,0.01737829165030673,2.2135416666666665,0.13651398356334538,,,,,,
899,3,,,,,,,0.0,0.0,2.8582986990610757,0.8497420578606405,0.2630970627069473,0.011931017936827758,0.061599668115377426,0.004851730484418239,2.2395833333333335,0.17562203437591006,,,,,,
949,3,,,,,,,0.0,0.0,1.8916455904642742,0.14855586604137339,0.26280198494593304,0.0170188272669246,0.05772385994593302,0.01822898364124978,2.2760416666666665,0.018042195912175804,,,,,,
999,3,,,,,,,0.0,0.0,2.2666866381963096,0.2867381327752899,0.24911160270373026,0.01930963110216002,0.0531480610370636,0.012000359541457074,2.1770833333333335,0.08018127249135756,,,,,,
1049,3,,,,,,,0.0,0.0,1.8917529980341594,0.8209638756273284,0.24221698443094888,0.023445481182805775,0.05504250774780909,0.010642928521062753,2.078125,0.18944305707784595,,,,,,
1099,3,,,,,,,0.0,0.0,2.6683916250864663,1.0330922983492898,0.26687897245089215,0.013951278319008883,0.07058990995089214,0.011414343699422281,2.1822916666666665,0.03608439182435161,,,,,,
1149,3,,,,,,,0.0,0.0,2.2340046962102256,0.6708477285621892,0.24621063967545828,0.0013316179558978166,0.062291370083888374,0.007089375156396324,2.0442708333333335,0.06644453553215142,,,,,,
1199,3,,,,,,,0.0,0.0,2.0134889284769693,0.7209981711894664,0.2389829953511556,0.014130775219692455,0.061899662017822266,0.015898575875698928,1.96875,0.020669932117692115,,,,,,
1249,3,,,,,,,0.0,0.0,1.2149372100830078,0.21143159201334683,0.2192558397849401,0.0022974317824273082,0.04868292436003685,0.005756327676498356,1.8932291666666667,0.08605578980134534,,,,,,
1299,3,,,,,,,0.0,0.0,1.4650524854660034,0.34916198490511063,0.22666498025258383,0.022238670084650698,0.05381341651082039,0.013721663002578535,1.9192708333333333,0.11303403340734743,,,,,,
1349,3,,,,,,,0.0,0.0,3.023660580317179,1.6365939892313968,0.2282027949889501,0.008963172564420408,0.053723628322283425,0.011478666853949875,1.9401041666666667,0.05651701670367371,,,,,,
1399,3,,,,,,,0.0,0.0,2.804298480351766,0.8423226236073642,0.233562042315801,0.012818318303852156,0.059082875649134316,0.009060650426010435,1.9375,0.06810779599282303,,,,,,
1449,3,,,,,,,0.0,0.0,1.8441992203394573,0.4868911631998619,0.22463474671045938,0.02160647307968597,0.05471287419398626,0.007837732550910236,1.890625,0.15368996541332813,,,,,,
1499,3,,,,,,,0.0,0.0,2.3577307860056558,0.31603655907743144,0.2197781354188919,0.009705154906321855,0.05180938417712847,0.01905205001325234,1.8671875,0.15388840315306412,,,,,,
1549,3,,,,,,,0.0,0.0,1.8859719038009644,0.33561787957660416,0.21388659874598184,0.01662898538745565,0.054706912487745285,0.008851806823720228,1.7708333333333333,0.11384110934580413,,,,,,
1599,3,,,,,,,0.0,0.0,2.070299426714579,0.5191465452020456,0.21843581895033518,0.015377263641412951,0.054373317708571754,0.008954240341557004,1.8203125,0.07694420157653206,,,,,,
1649,3,,,,,,,0.0,0.0,2.0911142826080322,0.36786899027308134,0.21814289689064026,0.018237624006893886,0.057986648132403694,0.016754514581543666,1.7786458333333333,0.018042195912175804,,,,,,
1699,3,,,,,,,0.0,0.0,2.1558700799942017,1.1857448741609764,0.21909655630588531,0.005378236069400049,0.05633613591392835,0.016815875630306017,1.8125,0.16237976320958225,,,,,,
1749,3,,,,,,,0.0,0.0,2.6280205249786377,0.7189772466548666,0.21648516257603964,0.010471789778893868,0.05502683420976003,0.002950511678335123,1.7942708333333333,0.09768228819537006,,,,,,
1799,3,,,,,,,0.0,0.0,2.3548229535420737,0.7684855130839823,0.2203494111696879,0.017130398848445656,0.06084420531988144,0.0036164527325728037,1.7760416666666667,0.17334832542336062,,,,,,
1849,3,,,,,,,0.0,0.0,2.0799681345621743,0.779519023877388,0.22636830806732178,0.018500754768475094,0.05839955930908521,0.0013355972788541056,1.8645833333333333,0.19861786422571193,,,,,,
1899,3,,,,,,,0.0,0.0,2.409437656402588,0.4553843832682001,0.21958032747109732,0.018533645177797313,0.05974960202972094,0.011001875210729517,1.7786458333333333,0.08605578980134534,,,,,,
1949,3,,,,,,,0.0,0.0,2.506363828976949,0.8902331850219598,0.2218590478102366,0.021402950798888386,0.06105175738533338,0.01454642487492542,1.7890625,0.10334966058846057,,,,,,
1999,3,,,,,,,0.0,0.0,1.9862221082051594,0.3690651852441575,0.21854145328203836,0.0043755991315149205,0.05252583076556524,0.010932037003838583,1.84375,0.13049447725382865,,,,,,
