step,n_seeds,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std
0,3,4.590679550551154,0.3519640710298246,20.997636482606325,0.6631060645698911
500,3,2.4466399927048172,0.45324907312903623,3.9517708768418265,0.5024627711276822
1000,3,2.22183025976409,0.36058289051178544,3.596677798899635,0.34329238763720527
1500,3,2.029156128241523,0.17591694006299324,3.489056926227773,0.2043880190787795
2000,3,2.272996081066656,0.1702198956620319,3.4294749872055323,0.11014318216367608
2500,3,2.0157544775853315,0.14175614341940132,3.186247462636265,0.1536744573905844
3000,3,2.076883683140241,0.16108768955916053,3.4147716604095546,0.17623663271078657
3500,3,2.2544875005222496,0.21935355679909638,3.5423583829050336,0.022930791110937994
4000,3,2.3728685800006053,0.2951065334426811,3.7993841440005203,0.3768578973296797
4500,3,2.5323071941839044,0.04539143753720074,4.18223228925619,0.42518472318093137
5000,3,2.2513017560681163,0.14173328679282518,3.782849912221897,0.21404122129290812
5500,3,2.3703773914917634,0.051965135885971306,3.582253114412025,0.14710065524461013
6000,3,2.5826100948471833,0.11084743725226362,4.05043892265433,0.17001768405766965
6500,3,2.5866360486370112,0.2335521508229766,4.152917827593027,0.5482402611583844
7000,3,2.3980077091652947,0.24826629504253017,4.108464949067921,0.32761193583355414
7500,3,2.389428029258356,0.2511477414088149,4.191928772505259,0.40153309081103505
8000,3,2.686602545704195,0.13105367848148025,4.437370920390276,0.43787809569471353
8500,3,2.9217712180445945,0.26366910923109715,5.4243600369544085,0.3854631802975972
9000,3,2.7286279199788037,0.03526276731628244,4.5891101254124695,0.5484847732422594
9500,3,2.6380985519371625,0.30588494917503406,4.737837689980945,0.3111405629085498
10000,3,3.6324768619219667,0.7709630141113216,7.005957370443059,1.672656268828418
10500,3,3.5627948004155434,0.658955993112254,6.680562362189603,1.6837797208749399
11000,3,2.971183811451805,0.38422078695345185,5.5476389826553705,0.39091113635146874
11500,3,3.0383545439145863,0.3656252659602031,5.951900118057907,0.8677489064037378
12000,3,3.451094758463619,0.36045365620309394,6.875461205343432,0.8308144675791038
12500,3,3.5734142985682915,0.47266022503336824,7.013419283745331,1.158158488896681
13000,3,3.6493298447262257,0.2603764953699149,6.66529990831351,0.4334181819076013
13500,3,3.565937148368343,0.45930293763454166,7.1800425545432445,0.9011367730372831
14000,3,3.716830915670666,0.7708551294448965,7.6574805770685135,1.0878534152149582
14500,3,4.413074953102075,0.3228582694773173,8.75968874479394,0.5650603233925343
15000,3,4.4239539724551395,0.729884445049323,8.799100272877421,1.1097626454484926
15500,3,4.989578452031027,0.8516977407338993,9.599269866157705,2.268294367480735
16000,3,4.565690331970719,0.2742334213532025,9.40537091796634,0.18171789250853987
16500,3,4.890395502171626,1.275859665826843,9.75474107108128,2.2668789053483684
17000,3,4.422396334311586,1.4005272075635495,9.014065654969446,3.2034906771420366
17500,3,6.55004905175305,1.9418944602964225,11.850716863873979,2.04157994497559
18000,3,5.322550089987757,1.6742639950703357,11.061868246623792,2.2903272552715714
18500,3,5.321151058167661,1.3146545494618187,11.223636142313607,1.7308564858099351
19000,3,5.454039348184928,1.162797475608043,11.783717892241297,1.8514410435727335
19500,3,6.549217762358667,1.2015604914001174,12.47759986268021,1.8599052904763045
20000,3,6.641192357155786,2.3455129000663417,12.477419128809082,2.406307657194174
20500,3,6.334169746146116,1.2721229134457834,12.82063467418719,1.5599856057108166
21000,3,6.38762564313998,2.4361505648047745,12.282407724048644,3.5656228043788554
21500,3,5.814193028950764,2.0271646887731642,12.101258337095976,2.9512110303478725
22000,3,6.73567995394089,3.2583057102955535,12.445522776235963,3.4132673657826063
22500,3,6.111900877986404,2.729585036390415,12.658387242652678,2.981846804778182
23000,3,7.336321412811898,2.3743437556461964,13.728655116069332,2.2926692321630604
23500,3,7.635693350490569,1.8072871218837736,14.103728477231753,2.051207678980649
24000,3,7.05635706272883,2.036568936343661,13.740378326423397,2.674147585914922
24500,3,7.2949121925296065,0.6460391771801641,14.195473287275153,1.8523940892296828
25000,3,7.361955459216192,1.905831331188626,14.289673312800506,2.400208199729139
25500,3,8.231306102240717,2.8120765231736393,14.761207231309786,2.367399361768157
26000,3,8.451868160486892,2.5031985104485317,14.919118917554655,2.382556259570525
26500,3,8.960688096155794,1.2698197595236795,15.185261906754127,1.732752019890369
27000,3,7.682797051059554,1.7640376081090297,14.904137605616619,2.1093654492089238
27500,3,9.21512629252933,1.7762489781640067,15.436482312277075,2.0001116396916245
28000,3,8.472579904525489,1.4887812374739215,15.042611208946411,2.1003443927194705
28500,3,8.586655946005271,1.9018471876976246,15.380856428674859,2.117060143319058
29000,3,8.914912597572911,1.6670680127841098,15.438263546844984,2.079480454061282
29500,3,8.316283575194497,1.0666940208948652,15.703846768585063,1.784215326323713
30000,3,8.75468672044087,1.2860701676536639,15.864699047565553,1.837248294389015
30500,3,9.409965617144222,1.1354583471609332,15.984932804667212,1.9487794037014454
31000,3,9.791992805907011,0.9444561663525816,16.085624881533967,2.0070888460825103
31500,3,9.974055189608018,1.5256920673294208,16.18129324452237,2.0356027732737085
32000,3,9.685131165097193,1.349881311609175,16.141871724990878,2.013696622816397
32500,3,10.12389017639436,1.5673271694604691,16.278265134719828,1.9830716460636983
33000,3,10.56564723899742,0.913699712955777,16.39405243638922,1.9075971658046857
33500,3,10.451562732477894,0.9901011802103341,16.452631132523877,1.8889259721788128
34000,3,9.724839454769484,1.002910205576392,16.3491222920256,1.899580031584008
34500,3,10.65647985110476,0.8804480726809172,16.493826702971518,1.9041990210098905
35000,3,9.948130881353052,0.5253906120413855,16.385828003453437,1.852078876328978
35500,3,10.257724657721917,1.6741696250589655,16.495998120692555,1.9371915675829365
36000,3,10.550452386506615,0.8619552324666443,16.529648172647153,1.8518355172104997
36500,3,10.394291097428372,1.0948678232591897,16.538317940751995,1.8845377297295423
37000,3,10.574612994815677,0.7706979053406966,16.547619348336056,1.917104836694557
37500,3,10.562777108935384,1.2932168113488272,16.54274155085145,1.9142108241715752
38000,3,10.5531470683108,0.5690972830819877,16.5793575207179,1.8944303376488902
38500,3,10.042622366232182,0.886786186422459,16.495988777645554,1.8611731190109595
39000,3,10.924516270879616,1.232951471773999,16.6140145494252,1.9274418794056078
39500,3,10.394623338007918,0.9788124304347074,16.5584486936374,1.8898438263132429
40000,3,10.411547887162483,1.1859685368292836,16.528488667823645,1.9343488666570547
