step,n_seeds,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std
0,3,0.4501742786831326,0.020063798398312214,118.86314831644573,5.721631260564025,326.61022803450476,1.8457774271543508,564.0,1.0
500,3,1.7611431611908808,0.07766426136058746,50.63969809295642,3.120557122698142,279.92942573052954,2.576670131344431,557.5,1.013793755049669
1000,3,1.752285725540585,0.11210301735061225,47.01625120334626,3.822059439302291,257.4332898237775,3.1202584385554237,557.2777777777778,0.4194352464038954
1500,3,1.778416355450948,0.13266888733545942,43.998709527681136,3.8345440618563025,238.08219370281893,3.6080112094711168,556.2777777777777,0.5357583756107276
2000,3,1.7551645901468065,0.1259296740873468,42.18548352366724,4.558402205247141,226.87519015228324,4.964629355440634,553.8333333333334,0.44095855184406263
2500,3,1.7302048405011494,0.09708605309721005,40.48294826154611,3.874485113968886,218.79555590026237,5.29016942902763,553.6111111111111,1.1344765475923195
3000,3,1.727887875503964,0.11875707134081014,37.68712825299714,3.1720277690812817,205.78273319231658,3.8166346829286306,552.6666666666666,0.6009252125773683
3500,3,1.68571541706721,0.12901457995946475,37.28975086412094,4.149819173415872,194.6048093707118,4.411090524889043,551.5,1.1666666666667018
4000,3,1.6808325780762565,0.10015940070444139,35.18743546549753,2.629900829385053,184.09211176191536,3.8479871884237222,551.0,1.5898986690282746
4500,3,1.6865967379675972,0.13692580319373943,33.87018692867178,4.14595074156465,175.4989264562314,5.770927265706949,549.3333333333334,2.048034287907424
5000,3,1.6783576409022014,0.1270847889838035,33.00385512561773,3.5522997921813353,168.45314776665117,5.568628824399985,549.3888888888889,1.669442133479655
5500,3,1.7076484031147428,0.12417502165861058,31.16091539184884,3.4271665648185934,161.4196185184512,5.74947994129632,547.6666666666666,1.691481927515383
6000,3,1.7081653210851881,0.10970470855610723,30.415590145055372,2.956990400201847,156.64656016961658,5.101075353269599,546.7222222222222,0.693888666488726
6500,3,1.6927690439754062,0.12186013315409944,30.721571548134232,3.1396452932004606,151.97992543169002,4.518846840489314,546.6666666666666,0.5
7000,3,1.7143087585767112,0.09795996664696602,29.608619395598566,2.242971415224028,147.28817343519836,4.026849344807077,546.2222222222222,1.9317042945237364
7500,3,1.7156025634871588,0.08041910039501177,29.363660165000553,2.172655914227439,143.33462955544695,4.240425179901364,544.9444444444445,1.7821127702605926
8000,3,1.7031278146637812,0.08963605311339956,29.80324361983993,2.4976294813442097,139.97020497769256,4.519039827869093,545.8333333333334,1.6414763002993238
