horizon,mse_mean,mse_std,n_seeds
1,0.0033801551665722704,0.0007271115336152299,3
3,0.04037787509150803,0.02320315227280035,3
5,0.11258104117587209,0.07707454834214976,3
10,0.2135740634985268,0.07936827395925625,3
15,0.553252354885141,0.14437025970475395,3
20,0.9110120565940937,0.6499982607882109,3
