epoch,fit/grad_norm_pre_clip,fit/loss,fit/pred_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step
0,0.10125590860843658,0.5976712107658386,0.5976712107658386,49,,,,
0,0.12716615200042725,0.45460954308509827,0.45460954308509827,99,,,,
0,0.22889521718025208,0.348202645778656,0.348202645778656,149,,,,
0,0.31687086820602417,0.23369355499744415,0.23369355499744415,199,,,,
0,0.4586968719959259,0.15161308646202087,0.15161308646202087,249,,,,
0,0.44012683629989624,0.07909742742776871,0.07909742742776871,299,,,,
0,0.19237664341926575,0.04770108684897423,0.04770108684897423,349,,,,
0,0.13126659393310547,0.03348805755376816,0.03348805755376816,399,,,,
0,0.16968536376953125,0.03431803360581398,0.03431803360581398,449,,,,
0,0.10935000330209732,0.022560395300388336,0.022560395300388336,499,,,,
0,0.13657264411449432,0.019899994134902954,0.019899994134902954,549,,,,
0,0.0961318239569664,0.02166658453643322,0.02166658453643322,599,,,,
0,0.16195161640644073,0.02152107283473015,0.02152107283473015,649,,,,
0,0.16566869616508484,0.027043040841817856,0.027043040841817856,699,,,,
0,0.16458392143249512,0.023448316380381584,0.023448316380381584,749,,,,
0,0.1191210001707077,0.02483958564698696,0.02483958564698696,799,,,,
0,0.12068900465965271,0.019644200801849365,0.019644200801849365,849,,,,
0,0.12428009510040283,0.01762811839580536,0.01762811839580536,899,,,,
0,0.15607386827468872,0.017913920804858208,0.017913920804858208,949,,,,
0,0.10687408596277237,0.01643683761358261,0.01643683761358261,999,,,,
0,0.17532290518283844,0.02210470475256443,0.02210470475256443,1049,,,,
0,0.11812343448400497,0.014363163150846958,0.014363163150846958,1099,,,,
0,0.12702570855617523,0.021105753257870674,0.021105753257870674,1149,,,,
0,0.11221268028020859,0.017469579353928566,0.017469579353928566,1199,,,,
0,0.12356915324926376,0.015857214108109474,0.015857214108109474,1249,,,,
0,0.13250470161437988,0.015714427456259727,0.015714427456259727,1299,,,,
0,0.09424911439418793,0.014792067930102348,0.014792067930102348,1349,,,,
0,0.10261215269565582,0.015126119367778301,0.015126119367778301,1399,,,,
0,0.09800779819488525,0.012876053340733051,0.012876053340733051,1449,,,,
0,0.12157787382602692,0.011798890307545662,0.011798890307545662,1499,,,,
0,0.12756747007369995,0.01404373999685049,0.01404373999685049,1549,,,,
0,0.11841855198144913,0.014947404153645039,0.014947404153645039,1599,,,,
0,0.1369749754667282,0.014278928749263287,0.014278928749263287,1649,,,,
0,0.14018061757087708,0.014123612083494663,0.014123612083494663,1699,,,,
0,0.09695519506931305,0.012025134637951851,0.012025134637951851,1749,,,,
0,0.15249085426330566,0.014312345534563065,0.014312345534563065,1799,,,,
0,0.09556818008422852,0.011429007165133953,0.011429007165133953,1849,,,,
0,0.09286107867956161,0.011944613419473171,0.011944613419473171,1899,,,,
0,0.16268087923526764,0.0179598331451416,0.0179598331451416,1949,,,,
0,0.1296291947364807,0.01886109448969364,0.01886109448969364,1999,,,,
0,0.1214412972331047,0.017542710527777672,0.017542710527777672,2049,,,,
0,0.11757852137088776,0.012578721158206463,0.012578721158206463,2099,,,,
0,0.1604190468788147,0.028178837150335312,0.028178837150335312,2149,,,,
0,0.10489010065793991,0.012239513918757439,0.012239513918757439,2199,,,,
0,0.10411134362220764,0.010475690476596355,0.010475690476596355,2249,,,,
0,0.09958969056606293,0.011255284771323204,0.011255284771323204,2299,,,,
0,0.1080278679728508,0.013606388121843338,0.013606388121843338,2349,,,,
0,0.10926664620637894,0.014347662217915058,0.014347662217915058,2399,,,,
0,0.11190607398748398,0.013503183610737324,0.013503183610737324,2449,,,,
0,0.08590766787528992,0.011479509994387627,0.011479509994387627,2499,,,,
0,0.16895832121372223,0.015004168264567852,0.015004168264567852,2549,,,,
0,0.10008607059717178,0.015399172902107239,0.015399172902107239,2599,,,,
0,0.0880545973777771,0.009758778847754002,0.009758778847754002,2649,,,,
0,0.10239701718091965,0.014841888099908829,0.014841888099908829,2699,,,,
0,0.08813434094190598,0.01184051763266325,0.01184051763266325,2749,,,,
0,0.10042876750230789,0.015060365200042725,0.015060365200042725,2799,,,,
0,0.11666528135538101,0.012307567521929741,0.012307567521929741,2849,,,,
0,0.11172507703304291,0.011629072017967701,0.011629072017967701,2899,,,,
0,0.15008126199245453,0.010967251844704151,0.010967251844704151,2949,,,,
0,0.09912349283695221,0.010720613412559032,0.010720613412559032,2999,,,,
0,0.10281393676996231,0.01179602462798357,0.01179602462798357,3049,,,,
0,0.17217306792736053,0.020180365070700645,0.020180365070700645,3099,,,,
0,0.08271733671426773,0.012560354545712471,0.012560354545712471,3149,,,,
0,0.12076287716627121,0.012166067026555538,0.012166067026555538,3199,,,,
0,0.18260139226913452,0.019477471709251404,0.019477471709251404,3249,,,,
0,0.09996943175792694,0.01054165605455637,0.01054165605455637,3299,,,,
0,0.10802780836820602,0.01138370856642723,0.01138370856642723,3349,,,,
0,0.09856881201267242,0.0134643679484725,0.0134643679484725,3399,,,,
0,0.08542577922344208,0.007464016322046518,0.007464016322046518,3449,,,,
0,0.09301780164241791,0.009030401706695557,0.009030401706695557,3499,,,,
0,0.08800710737705231,0.009316996671259403,0.009316996671259403,3549,,,,
0,0.07807093113660812,0.010324444621801376,0.010324444621801376,3599,,,,
0,0.16194657981395721,0.01683012582361698,0.01683012582361698,3649,,,,
0,0.12335791438817978,0.01553430873900652,0.01553430873900652,3699,,,,
0,0.13323631882667542,0.02418745495378971,0.02418745495378971,3749,,,,
0,0.08569344133138657,0.011580266989767551,0.011580266989767551,3799,,,,
0,0.0776747390627861,0.011182786896824837,0.011182786896824837,3849,,,,
0,0.1098494604229927,0.009240305982530117,0.009240305982530117,3899,,,,
0,0.10296834260225296,0.009565501473844051,0.009565501473844051,3949,,,,
0,0.09964082390069962,0.014377213083207607,0.014377213083207607,3999,,,,
0,0.1404368281364441,0.020446350798010826,0.020446350798010826,4049,,,,
0,0.07267071306705475,0.012230319902300835,0.012230319902300835,4099,,,,
0,0.08557986468076706,0.008037048391997814,0.008037048391997814,4149,,,,
0,0.20294876396656036,0.02053271420300007,0.02053271420300007,4199,,,,
0,0.0731620192527771,0.00930190458893776,0.00930190458893776,4249,,,,
0,0.07781722396612167,0.008191444911062717,0.008191444911062717,4299,,,,
0,0.10295912623405457,0.01006071176379919,0.01006071176379919,4349,,,,
0,0.09454253315925598,0.009660676121711731,0.009660676121711731,4399,,,,
0,0.07806526869535446,0.009082294069230556,0.009082294069230556,4449,,,,
0,0.11391963809728622,0.012064067646861076,0.012064067646861076,4499,,,,
0,0.11246313899755478,0.010173216462135315,0.010173216462135315,4549,,,,
0,0.1133606880903244,0.007508538663387299,0.007508538663387299,4599,,,,
0,0.08303532004356384,0.008521270006895065,0.008521270006895065,4649,,,,
0,0.0833023190498352,0.016033077612519264,0.016033077612519264,4699,,,,
0,0.1340426355600357,0.017840513959527016,0.017840513959527016,4749,,,,
0,0.08190671354532242,0.009778084233403206,0.009778084233403206,4799,,,,
0,0.11470706015825272,0.013230658136308193,0.013230658136308193,4849,,,,
0,0.08834773302078247,0.009953601285815239,0.009953601285815239,4899,,,,
0,0.09204519540071487,0.007835854776203632,0.007835854776203632,4949,,,,
0,0.1092429831624031,0.013343085534870625,0.013343085534870625,4999,,,,
0,0.0774175226688385,0.008683794178068638,0.008683794178068638,5049,,,,
0,0.08398043364286423,0.009569511748850346,0.009569511748850346,5099,,,,
