step,n_seeds,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std
0,3,0.43936687376764083,0.012749697398462987,121.10291252841715,1.0853777171852825,326.0278981522205,1.4761557386318938,563.9444444444445,0.09622504486491575
500,3,1.5344257685873244,0.02866773072143416,53.18519880513205,3.2707316534759494,272.0396770665204,2.9689674507004287,557.6666666666666,0.7637626158259734
1000,3,1.574967172410753,0.04184751363293761,44.91863100543361,2.1469874648506564,245.3994574680734,3.1163469124431757,555.3333333333334,1.0
1500,3,1.5834833118650649,0.047395598185127716,39.782916546662705,3.0568022228593117,217.0593499028538,1.9100903096386181,554.5,1.301708279317778
2000,3,1.6085643900765314,0.06305196430967973,35.302477966861765,2.808408682345765,194.78810369953186,3.9238820366504736,551.7777777777778,2.3114048958572013
2500,3,1.6397855149375067,0.09187827971849925,32.61006464545076,3.3015217041456166,178.6354415999037,5.776784971900728,549.2777777777778,0.9477067838462422
3000,3,1.687753352853987,0.13021171706078244,30.231864036865595,3.8218668862483627,166.52156208879765,7.777768678985293,548.6666666666666,1.5275252316519468
3500,3,1.7368537717395358,0.12047215514785017,28.73316811575089,3.0431259924565057,158.34852818994176,8.411953218049163,547.2222222222222,1.3574213025411968
4000,3,1.7772892713546753,0.1396573498697359,27.581274415782328,3.5528902611243858,153.79175165701835,9.63822119243655,546.6111111111111,1.3368010461684223
4500,3,1.8226343194643657,0.2007279628049681,26.781410598175885,4.408213051234777,151.12913015335758,11.371949528422244,545.5555555555555,2.1751968833835615
5000,3,1.8367645608054266,0.23122461229902988,26.617744639953848,5.14833378559107,150.37457151561603,11.134862590385708,545.5555555555555,2.2381374531648404
