step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,validate/sigreg_loss_step_mean,validate/sigreg_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_mean,fit/grad_norm_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/rand_diff_loss_mean,fit/rand_diff_loss_std,fit/sigreg_loss_mean,fit/sigreg_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std,validate/sigreg_loss_epoch_mean,validate/sigreg_loss_epoch_std
0,3,0.2389584332704544,0.029083782049542737,0.045273542404174805,0.011745102573058039,2.1484375,0.2249403132638745,,,,,,,,,,,,,,,,,,
1,3,0.24879488348960876,0.03169466618518761,0.05380790556470553,0.008737874434209324,2.1666666666666665,0.30472088492312654,,,,,,,,,,,,,,,,,,
2,3,0.25086429715156555,0.020944444691807805,0.04513512924313545,0.009769736691276126,2.2864583333333335,0.1301041249666333,,,,,,,,,,,,,,,,,,
3,3,0.2363680899143219,0.015995028008605184,0.050821209947268166,0.002264509205098032,2.0598958333333335,0.1531595411722147,,,,,,,,,,,,,,,,,,
4,3,0.24910802642504373,0.0017446246440599715,0.038496050983667374,0.002293788551717344,2.3385416666666665,0.009021097956087902,,,,,,,,,,,,,,,,,,
5,3,0.2532629022995631,0.004297122722208752,0.052416544407606125,0.0006921070853657573,2.234375,0.04133986423538423,,,,,,,,,,,,,,,,,,
6,3,0.24922272562980652,0.01776381070092364,0.04805085311333338,0.0027291128050819903,2.234375,0.22041774968227945,,,,,,,,,,,,,,,,,,
7,3,0.2069631020228068,0.018330282051314085,0.03866883118947347,0.0031866934978329055,1.8697916666666667,0.22444230652515879,,,,,,,,,,,,,,,,,,
8,3,0.2449766347805659,0.020703849936987186,0.050640697280565895,0.008430092752149114,2.1588541666666665,0.21627129892702668,,,,,,,,,,,,,,,,,,
9,3,0.2392094482978185,0.032069889150247076,0.0507328895231088,0.01811113813045683,2.0963541666666665,0.21199580196806572,,,,,,,,,,,,,,,,,,
10,3,0.2614891727765401,0.03185752099734372,0.05185375486811002,0.009797869637654001,2.328125,0.3325593227155119,,,,,,,,,,,,,,,,,,
11,3,0.21992204089959463,0.0024981392120056473,0.04121109719077746,0.007259722447057479,1.984375,0.08267972847076846,,,,,,,,,,,,,,,,,,
12,3,0.22982680797576904,0.004478545766134433,0.03744399423400561,0.0019381309763536732,2.1354166666666665,0.047735163489123336,,,,,,,,,,,,,,,,,,
13,3,0.23974878589312235,0.009387961037612596,0.04997014254331589,0.01068660620942152,2.109375,0.08267972847076846,,,,,,,,,,,,,,,,,,
