step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std
0,2,0.021213605999946594,0.005148880285045497,0.021213605999946594,0.005148880285045497,,,,,,,,,,,,
1,2,0.029434879310429096,0.004435127356780554,0.029434879310429096,0.004435127356780554,,,,,,,,,,,,
2,2,0.024058612994849682,0.005761886440301211,0.024058612994849682,0.005761886440301211,,,,,,,,,,,,
3,2,0.03156827483326197,0.0010787472705473169,0.03156827483326197,0.0010787472705473169,,,,,,,,,,,,
4,2,0.019689233973622322,0.0010099491257983622,0.019689233973622322,0.0010099491257983622,,,,,,,,,,,,
5,2,0.02201441302895546,0.0017654287511781057,0.02201441302895546,0.0017654287511781057,,,,,,,,,,,,
6,2,0.025141711346805096,0.008783868162092952,0.025141711346805096,0.008783868162092952,,,,,,,,,,,,
7,2,0.023008479736745358,0.002278515265326618,0.023008479736745358,0.002278515265326618,,,,,,,,,,,,
8,2,0.022233085706830025,0.00044676713092760447,0.022233085706830025,0.00044676713092760447,,,,,,,,,,,,
9,2,0.030157389119267464,0.0064014872569673,0.030157389119267464,0.0064014872569673,,,,,,,,,,,,
10,2,0.02038167417049408,0.0011922052696496275,0.02038167417049408,0.0011922052696496275,,,,,,,,,,,,
11,2,0.018381412141025066,0.0013430264499568459,0.018381412141025066,0.0013430264499568459,,,,,,,,,,,,
12,2,0.020638554356992245,0.002199331873686776,0.020638554356992245,0.002199331873686776,,,,,,,,,,,,
13,2,0.02319333702325821,0.004010738885323219,0.02319333702325821,0.004010738885323219,,,,,,,,,,,,
14,2,0.019463532604277134,0.0004189726014236858,0.019463532604277134,0.0004189726014236858,,,,,,,,,,,,
15,2,0.018748421221971512,0.0003938175183077619,0.018748421221971512,0.0003938175183077619,,,,,,,,,,,,
16,2,0.024220511317253113,0.0054878489483723945,0.024220511317253113,0.0054878489483723945,,,,,,,,,,,,
17,2,0.020539122633635998,0.0014223389163202527,0.020539122633635998,0.0014223389163202527,,,,,,,,,,,,
18,2,0.02143749501556158,0.003467109076894468,0.02143749501556158,0.003467109076894468,,,,,,,,,,,,
19,2,0.023377166129648685,0.007168982685439696,0.023377166129648685,0.007168982685439696,,,,,,,,,,,,
49,2,,,,,0.0,0.0,0.1506054401397705,0.03562226348031657,0.2454349398612976,0.05340907648888407,0.2454349398612976,0.05340907648888407,,,,
