step,n_seeds,effective_rank_mean,effective_rank_std,n_svs_above_1pct_mean,n_svs_above_1pct_std,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std
0,2,113.7137825801901,2.7637577404324247,537.5833333333333,1.5320646925708261,1.837222327788671,0.06870179354102145,23.638169284778506,1.577764624714576
500,2,110.39646769931412,2.408542317695765,535.9166666666667,1.296362432175364,1.9748005966345468,0.028453098597562947,21.916755247320612,0.6261331596496572
1000,2,108.32737957279406,2.5728817102460186,535.0833333333334,1.0606601717798212,2.046084225177765,0.03641757451171714,21.113508121328465,0.5865995809137317
1500,2,107.49339974800976,2.716693099171179,534.9166666666667,1.296362432175364,2.0660432477792106,0.04731038536250919,20.805105584515875,0.6898959329361446
2000,2,106.98933946776185,2.820646834333744,534.5,1.4142135623730951,2.0731017390886946,0.04972642535549729,20.623873622977964,0.7274128805340894
2500,2,106.61976641856812,2.797296375545393,534.3333333333334,1.4142135623730951,2.0763528645038605,0.052396048887025516,20.53075352732299,0.7742768383389875
3000,2,106.4392822620523,2.867747728551537,534.3333333333334,1.4142135623730951,2.076245705286662,0.055597116080377526,20.49561349059654,0.8177622456925588
3500,2,106.25540447859623,2.8148741955823278,534.1666666666666,1.4142135623730951,2.076518038908641,0.059389096138801875,20.440045990729615,0.8405628137548109
4000,2,106.10019373218432,2.7844692791413386,534.25,1.2963624321752836,2.0765610734621687,0.058535200987971166,20.40695092914582,0.824279226598281
4500,2,106.02434248470905,2.7222408889490324,534.25,1.2963624321752836,2.075509856144587,0.059589785382461145,20.384454823088504,0.8094553822414489
5000,2,105.94503895395144,2.728896175016549,534.1666666666667,1.6499158227686377,2.0746863683064776,0.06075479452004967,20.3806049371899,0.8204362841905103
5500,2,105.89931089892816,2.6958504350612285,534.0833333333333,1.5320646925708261,2.0740732749303183,0.06013116165158358,20.36864621939526,0.8073206896837468
6000,2,105.87200359212616,2.7032816384365588,534.25,1.2963624321752836,2.0747982164223986,0.06094466607259125,20.350425333179114,0.8133337451437683
6500,2,105.87948540032161,2.688263156267326,534.25,1.2963624321752836,2.073647658030192,0.061019617218193226,20.364568528923684,0.8077851113887475
7000,2,105.86720050546053,2.684570754258108,534.1666666666666,1.4142135623730951,2.0735104084014893,0.060780363608146176,20.36208677100254,0.8056629623055689
7500,2,105.8520459521102,2.6711923690369694,534.25,1.2963624321752836,2.0738877654075623,0.06077701995816452,20.353240782737057,0.802267259346557
8000,2,105.85340424039592,2.674148918212969,534.25,1.2963624321752836,2.073850095272064,0.060753895387281334,20.353386282732156,0.8025471970845399
